Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
scVelo dynamical,0.44,0.82,0.85,0.54,0.68,0.57,0.48,0.85,0.62,0.66,0.57,0.57,0.61,0.65,0.2,0.8,0.489,0.484,0.48,0.515,0.488,0.476,0.512,0.48,0.548,0.527,0.77,0.52,0.47,0.62,0.56,0.4,0.845,0.57,0.46,0.54,0.59,0.59,0.71,0.35,0.3,0.35,0.43,0.28,0.866,0.3,0.26,0.25,0.58,0.63,0.29,0.67,0.59,0.54,0.75,0.69,0.868,0.67,0.69,0.57,0.64,0.94,0.82,0.48,0.79,0.88,0.94,0.942,0.92,0.83,0.62,0.76,0.73,0.53,0.69,0.59,0.71,0.52,0.51,0.628,0.61,0.52,0.56,0.5,0.52,0.95,0.09,0.39,0.36,0.05,0.9,0.843,0.81,0.83,0.46,0.0,0.0,0.29,0.63,0.55,0.53,0.7,0.54,0.794,0.64,0.29
scVelo stochastic,0.51,0.84,0.85,0.52,0.56,0.41,0.51,0.84,0.38,0.52,0.52,0.52,0.67,0.56,0.57,0.68,0.592,0.565,0.53,0.52,0.518,0.5,0.521,0.536,0.53,0.555,0.51,0.57,0.49,0.61,0.65,0.45,0.845,0.7,0.51,0.56,0.6,0.63,0.41,0.44,0.48,0.44,0.52,0.43,0.883,0.58,0.54,0.4,0.53,0.6,0.38,0.75,0.34,0.75,0.74,0.69,0.87,0.54,0.51,0.55,0.58,0.91,0.84,0.52,0.85,0.85,0.94,0.955,0.88,0.85,0.59,0.78,0.83,0.51,0.64,0.47,0.72,0.52,0.52,0.678,0.75,0.68,0.55,0.5,0.55,0.55,0.5,0.48,0.72,0.55,0.9,0.818,0.54,0.84,0.57,0.71,0.76,0.34,0.64,0.59,0.71,0.74,0.56,0.826,0.55,0.49
SDEvelo,0.54,0.19,0.5,0.0,0.38,0.48,0.55,0.58,0.32,0.25,0.5,0.5,0.48,0.67,0.56,0.38,0.487,0.5,0.507,0.487,0.48,0.499,0.515,0.478,0.554,0.501,0.48,0.46,0.0,0.7,0.48,0.0,0.407,0.59,0.57,0.5,0.6,0.59,0.38,0.46,0.0,0.21,0.46,0.0,0.546,0.64,0.68,0.61,0.7,0.66,0.22,0.24,0.32,0.36,0.35,0.47,0.448,0.64,0.61,0.67,0.7,0.89,0.77,0.0,0.84,0.88,0.81,0.479,0.8,0.5,0.49,0.68,0.64,0.37,0.52,0.0,0.49,0.41,0.512,0.517,0.61,0.58,0.51,0.52,0.59,0.94,0.93,0.0,0.92,0.33,0.34,0.578,0.82,0.19,0.49,0.57,0.72,0.33,0.25,0.6,0.38,0.33,0.55,0.382,0.61,0.52
STT,0.0,0.48,0.73,0.47,0.5,0.54,0.67,0.67,0.49,0.5,0.51,0.51,0.53,0.55,0.68,0.0,0.485,0.48,0.0,0.498,0.48,0.507,0.469,0.472,0.459,0.46,0.59,0.57,0.0,0.49,0.53,0.41,0.478,0.54,0.53,0.0,0.0,0.0,0.55,0.45,0.0,0.44,0.0,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.5,0.49,0.55,0.6,0.0,0.59,0.53,0.0,0.0,0.66,0.7,0.61,0.79,0.67,0.94,0.0,0.88,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.505,0.64,0.49,0.0,0.499,0.0,0.52,0.49,0.0,0.45,0.47,0.84,0.0,0.59,0.51,0.56,0.0,0.0,0.0,0.49,0.58,0.59,0.0,0.53,0.46,0.57,0.5
TFvelo,0.656,0.316,0.339,0.463,0.465,0.474,0.461,0.511,0.493,0.643,0.475,0.475,0.551,0.475,0.479,0.513,0.449,0.501,0.494,0.463,0.499,0.496,0.557,0.516,0.515,0.43,0.484,0.41,0.355,0.555,0.551,0.364,0.439,0.694,0.482,0.538,0.499,0.0,0.565,0.435,0.433,0.489,0.433,0.46,0.538,0.393,0.405,0.476,0.547,0.0,0.308,0.445,0.382,0.707,0.34,0.54,0.382,0.347,0.476,0.552,0.0,0.338,0.652,0.479,0.648,0.756,0.48,0.564,0.429,0.339,0.522,0.573,0.0,0.358,0.297,0.572,0.345,0.413,0.517,0.419,0.443,0.521,0.0,0.497,0.0,0.539,0.728,0.643,0.832,0.575,0.318,0.658,0.532,0.318,0.45,0.587,0.0,0.337,0.516,0.579,0.607,0.546,0.481,0.421,0.469,0.361
TopicVelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.484,0.496,0.493,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.66,0.59,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.251,0.0,0.42,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.429,0.0,0.37,0.59,0.0,0.0,0.0,0.56,0.44,0.54,0.55,0.57,0.432,0.0,0.0
UniTVelo,0.52,0.82,0.81,0.5,0.72,0.47,0.52,0.81,0.58,0.63,0.62,0.62,0.53,0.56,0.39,0.31,0.486,0.49,0.492,0.507,0.489,0.507,0.537,0.52,0.512,0.518,0.69,0.56,0.6,0.69,0.6,0.53,0.544,0.58,0.52,0.55,0.61,0.61,0.57,0.58,0.61,0.6,0.57,0.59,0.765,0.47,0.53,0.55,0.66,0.66,0.49,0.71,0.58,0.4,0.66,0.69,0.682,0.64,0.61,0.69,0.67,0.9,0.76,0.54,0.75,0.8,0.93,0.548,0.88,0.82,0.52,0.74,0.68,0.44,0.63,0.49,0.69,0.54,0.53,0.478,0.61,0.59,0.54,0.52,0.57,0.83,0.7,0.51,0.62,0.6,0.89,0.187,0.79,0.83,0.49,0.61,0.73,0.55,0.55,0.57,0.52,0.61,0.54,0.669,0.64,0.57
VeloAE,0.0,0.75,0.53,0.0,0.62,0.0,0.0,0.31,0.37,0.43,0.55,0.48,0.53,0.25,0.28,0.18,0.486,0.523,0.48,0.512,0.525,0.498,0.478,0.481,0.482,0.544,0.44,0.54,0.0,0.52,0.69,0.0,0.499,0.49,0.43,0.49,0.42,0.47,0.71,0.54,0.0,0.48,0.36,0.0,0.534,0.21,0.59,0.72,0.3,0.38,0.21,0.58,0.33,0.18,0.47,0.42,0.715,0.38,0.2,0.26,0.34,0.61,0.41,0.0,0.33,0.67,0.89,0.484,0.37,0.58,0.48,0.48,0.51,0.29,0.41,0.0,0.32,0.35,0.0,0.564,0.49,0.36,0.49,0.51,0.44,0.83,0.49,0.0,0.93,0.04,0.86,0.543,0.8,0.83,0.37,0.61,0.63,0.29,0.54,0.5,0.62,0.59,0.44,0.474,0.52,0.23
velocyto,0.65,0.84,0.85,0.47,0.73,0.5,0.49,0.83,0.68,0.65,0.6,0.6,0.66,0.53,0.7,0.71,0.648,0.663,0.526,0.592,0.559,0.574,0.586,0.587,0.595,0.608,0.64,0.42,0.42,0.59,0.46,0.39,0.855,0.65,0.45,0.49,0.61,0.58,0.67,0.67,0.45,0.77,0.63,0.49,0.865,0.58,0.35,0.63,0.61,0.61,0.72,0.62,0.61,0.66,0.61,0.64,0.856,0.51,0.36,0.68,0.61,0.67,0.57,0.47,0.57,0.62,0.93,0.923,0.91,0.85,0.58,0.66,0.75,0.71,0.62,0.53,0.69,0.64,0.57,0.455,0.79,0.51,0.49,0.53,0.51,0.88,0.92,0.61,0.83,0.82,0.89,0.823,0.79,0.83,0.52,0.72,0.75,0.59,0.46,0.55,0.63,0.55,0.56,0.817,0.61,0.48
VeloVAE,0.47,0.83,0.59,0.5,0.65,0.53,0.49,0.5,0.61,0.55,0.58,0.55,0.51,0.57,0.49,0.22,0.493,0.504,0.477,0.509,0.494,0.496,0.469,0.501,0.481,0.497,0.3,0.3,0.58,0.56,0.29,0.32,0.599,0.59,0.59,0.53,0.54,0.51,0.51,0.41,0.41,0.82,0.46,0.55,0.517,0.36,0.55,0.61,0.59,0.5,0.42,0.43,0.57,0.31,0.55,0.48,0.372,0.84,0.44,0.6,0.53,0.6,0.62,0.47,0.29,0.59,0.48,0.408,0.69,0.55,0.49,0.53,0.46,0.48,0.57,0.46,0.72,0.66,0.46,0.524,0.64,0.49,0.49,0.52,0.47,0.82,0.86,0.49,0.11,0.89,0.37,0.786,0.84,0.83,0.56,0.52,0.56,0.72,0.35,0.58,0.43,0.31,0.43,0.61,0.69,0.71
veloVI,0.49,0.83,0.85,0.53,0.73,0.59,0.52,0.86,0.57,0.68,0.66,0.66,0.66,0.73,0.82,0.8,0.504,0.472,0.48,0.5,0.497,0.5,0.576,0.469,0.5,0.5,0.82,0.68,0.55,0.78,0.74,0.62,0.851,0.73,0.66,0.53,0.62,0.62,0.75,0.66,0.49,0.82,0.73,0.59,0.857,0.81,0.8,0.54,0.57,0.58,0.71,0.77,0.5,0.83,0.74,0.69,0.859,0.8,0.76,0.51,0.54,0.93,0.88,0.51,0.92,0.9,0.94,0.948,0.93,0.85,0.58,0.83,0.63,0.93,0.69,0.56,0.9,0.68,0.5,0.593,0.88,0.81,0.54,0.52,0.51,0.94,0.75,0.49,0.92,0.86,0.88,0.829,0.84,0.83,0.57,0.78,0.73,0.61,0.74,0.59,0.72,0.76,0.56,0.794,0.79,0.65
