Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
scVelo dynamical,33.8,78.42,91.28,40.8,67.5,48.0,28.3,56.7,44.0,72.4,59.8,59.8,68.7,69.71,7.02,74.8,50.67,45.91,60.75,58.8,38.13,29.4,48.0,36.25,58.25,49.93,12.11,13.64,9.14,33.44,23.73,36.3,52.09,53.04,9.34,61.6,67.8,31.6,20.6,30.7,30.2,13.6,51.21,21.23,24.68,26.76,46.81,47.52,65.4,20.8,5.6,22.0,31.4,1.4,94.8,15.84,16.85,7.46,54.92,66.92,19.8,66.8,50.6,50.9,82.4,80.3,90.4,63.05,71.72,57.85,72.65,1.0,15.0,42.0,71.4,4.2,98.3,98.3,91.25,90.71,29.0,19.53,23.14,36.8,17.2,38.92,31.8,51.2,9.12,33.0,39.89,41.23,39.59,35.06,45.59,87.41,5.26,23.92,32.04,3.08,85.49,78.7,76.24,79.33,36.8,0.0,0.0,3.2,55.8,64.8,48.6,58.6,85.1,89.1,59.34,10.16
scVelo stochastic,42.4,85.17,92.52,40.6,49.8,47.0,38.1,50.7,16.2,44.4,38.6,38.6,78.4,48.15,47.93,57.8,68.39,66.14,42.58,42.13,49.4,36.67,61.8,63.5,55.75,66.4,19.84,11.91,20.92,19.8,19.88,20.71,26.91,23.98,16.66,36.17,43.6,40.4,26.8,31.3,40.5,28.9,49.8,39.15,25.25,39.32,38.11,43.75,21.4,32.6,28.6,28.1,40.3,36.7,86.6,47.71,44.42,24.25,46.76,62.86,19.6,69.2,10.2,72.0,69.3,82.1,83.3,44.34,40.92,49.29,60.34,6.0,13.6,38.0,79.8,12.5,97.4,97.9,84.18,92.42,33.9,19.93,14.35,19.2,30.8,42.81,26.9,23.6,12.26,35.2,29.04,24.87,40.68,37.36,44.55,48.18,38.28,31.82,60.07,46.37,86.28,75.3,46.0,82.73,47.86,61.31,67.58,6.2,62.8,78.6,69.1,64.5,87.1,78.2,43.21,41.55
SDEvelo,41.41,9.99,51.66,0.0,19.2,31.6,27.26,38.1,1.8,3.5,42.2,42.2,34.6,70.93,49.54,21.2,49.0,42.23,48.0,38.07,36.67,57.6,50.9,31.83,56.75,45.73,64.45,24.18,20.75,46.59,45.72,46.34,73.21,61.51,13.56,49.36,42.4,14.8,0.0,46.7,27.2,0.0,47.4,44.23,51.86,31.1,47.96,46.44,11.4,35.0,0.0,4.4,40.7,0.0,38.3,56.19,60.75,55.99,68.06,63.81,1.0,9.0,1.8,19.1,10.5,38.0,30.9,58.54,55.99,70.76,77.22,7.8,13.4,0.0,81.4,6.2,77.0,38.0,81.64,51.66,43.54,25.57,30.99,32.0,46.8,0.0,46.1,44.1,36.79,26.3,34.71,46.82,37.7,37.02,58.78,86.44,73.92,0.0,87.86,34.19,24.38,34.6,80.21,9.99,37.99,51.89,67.72,4.8,15.8,33.2,17.5,10.6,39.4,20.6,52.69,41.04
STT,0.0,58.67,85.78,39.05,47.9,42.6,64.29,44.0,37.8,41.4,31.3,31.3,60.5,52.12,66.05,0.0,41.67,51.59,0.0,23.73,20.2,19.73,46.3,38.42,35.17,38.0,21.41,0.0,20.43,16.99,0.0,23.07,22.82,0.0,22.7,26.25,47.0,33.2,0.0,45.3,44.7,20.69,21.85,60.16,62.16,0.0,0.0,0.0,47.2,29.0,0.0,40.7,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,29.4,49.0,36.0,30.9,50.1,62.1,0.0,57.41,51.82,0.0,0.0,14.4,14.8,37.11,62.4,16.5,98.7,0.0,76.96,85.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.22,38.0,45.81,40.21,0.0,34.72,0.0,53.03,40.67,0.0,45.87,44.28,90.48,0.0,64.94,61.25,55.53,0.0,0.0,0.0,34.6,39.2,51.8,0.0,48.3,38.32,51.63,51.26
TFvelo,66.4,26.19,22.77,42.2,37.6,12.4,18.7,31.6,37.8,50.9,19.4,19.4,47.5,32.61,36.23,44.8,39.56,49.91,41.17,14.13,43.0,34.47,67.1,43.08,48.92,26.07,20.13,15.05,7.11,8.47,32.45,49.24,48.7,15.38,24.93,51.18,22.2,27.6,16.8,19.2,32.9,16.2,24.7,52.47,27.08,39.49,32.86,0.0,54.6,30.6,15.2,48.8,39.0,18.4,42.7,26.33,26.66,33.83,54.61,0.0,18.2,43.2,25.6,67.2,23.1,44.3,25.1,21.74,42.51,50.22,0.0,66.0,29.6,32.6,59.7,23.6,50.3,59.6,39.56,22.79,39.82,37.86,0.0,69.4,68.8,39.22,59.5,39.0,60.69,37.1,22.92,31.87,0.0,40.82,0.0,38.74,63.88,74.88,70.39,52.28,24.83,55.8,49.45,26.41,35.86,50.96,0.0,12.0,42.6,42.8,61.2,41.1,44.8,36.1,31.73,21.56
TopicVelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.58,40.07,33.33,11.27,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.08,31.75,0.0,28.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.67,0.0,0.0,0.0,0.0,0.0,0.0,60.08,0.0,0.0,76.26,55.1,44.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.12,19.1,0.0,35.89,36.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.69,34.5,0.0,30.29,49.18,0.0,0.0,0.0,52.52,41.45,55.74,63.06,52.83,25.56,0.0,0.0
UniTVelo,41.2,80.35,84.43,42.3,69.8,54.4,34.9,55.3,49.2,62.4,73.7,73.7,51.0,53.55,27.93,17.6,46.83,45.23,38.58,47.33,52.8,50.8,61.1,47.25,47.08,50.13,73.54,69.82,64.86,62.13,47.25,46.51,63.08,67.3,53.62,31.0,55.0,33.0,41.6,41.7,35.4,43.4,22.68,34.78,37.44,38.48,45.85,47.19,48.6,48.8,47.2,57.9,52.5,50.4,79.2,38.75,44.13,38.69,67.21,71.69,37.0,68.8,49.2,30.2,68.4,72.3,67.2,59.45,59.06,76.32,77.82,5.4,17.4,40.0,73.9,11.3,97.0,57.8,88.4,90.13,39.73,20.72,27.33,30.0,39.0,39.82,40.5,38.0,28.62,25.8,39.77,33.63,41.68,37.55,57.04,79.18,57.42,33.49,55.46,48.95,85.26,10.67,77.1,85.88,37.24,52.18,66.99,44.4,49.4,67.8,44.9,44.5,79.8,68.8,62.99,56.53
VeloAE,0.0,69.61,46.53,0.0,63.3,0.0,0.0,26.9,6.6,27.8,70.5,57.1,54.0,3.38,15.09,2.0,43.94,53.86,39.0,48.73,52.73,52.2,30.5,41.83,38.0,64.07,2.23,3.22,5.95,15.21,52.5,38.03,47.66,2.48,44.15,60.23,38.2,37.2,0.0,51.1,55.5,0.0,33.4,37.11,40.91,30.22,27.62,28.97,66.2,49.4,0.0,37.3,27.4,0.0,28.9,3.36,50.55,72.99,14.08,24.05,0.2,61.0,0.6,2.8,42.2,24.1,61.7,27.43,1.31,5.85,11.39,36.0,63.6,0.0,28.5,23.3,92.7,40.7,34.91,53.76,44.52,51.11,44.59,26.6,31.8,0.0,30.3,34.0,0.0,41.1,39.83,33.13,39.78,34.75,33.91,77.0,39.47,0.0,92.23,0.98,79.25,41.2,79.38,79.77,30.47,55.18,58.31,6.0,54.6,56.4,72.9,53.3,35.1,34.0,40.77,0.82
velocyto,65.93,86.7,96.26,38.4,72.4,29.8,22.5,55.7,79.8,68.01,60.16,60.16,71.76,39.69,63.92,70.4,71.0,71.45,39.5,50.4,47.93,51.27,63.1,58.42,49.58,57.87,23.65,19.68,31.38,44.36,40.55,43.7,57.38,43.2,18.77,33.03,36.42,40.24,19.11,37.94,45.67,11.96,54.9,48.16,26.77,28.97,41.35,43.68,67.4,57.14,24.14,82.21,54.17,29.91,84.1,46.44,31.26,51.55,33.7,72.21,75.65,55.73,59.15,64.92,56.28,60.1,79.3,42.97,18.95,48.89,53.36,27.57,34.41,38.83,55.28,27.34,95.08,94.8,91.52,97.06,34.99,35.27,20.86,42.66,52.62,39.88,42.91,52.86,56.6,45.1,35.51,30.76,44.64,45.68,41.46,76.83,83.01,64.49,74.51,75.89,85.71,77.6,69.83,87.36,42.05,59.42,62.05,65.39,29.2,50.1,56.6,38.4,58.0,77.5,52.84,48.79
VeloVAE,36.4,85.86,53.09,38.1,63.7,45.0,34.3,60.8,58.6,65.7,51.9,54.3,56.1,57.7,41.92,12.0,52.44,45.23,46.75,54.73,50.47,34.47,32.2,48.25,38.33,43.73,21.35,10.87,30.14,13.67,24.6,31.98,31.72,24.48,41.52,51.22,24.4,5.8,16.0,40.8,10.5,3.7,23.6,52.16,53.76,33.6,37.82,33.32,37.6,29.4,12.8,97.5,34.8,42.9,48.8,25.54,50.07,55.19,61.32,44.08,36.2,38.4,59.8,26.2,45.2,31.5,33.2,95.99,45.16,64.73,50.96,33.0,39.2,43.6,23.1,21.0,46.3,44.9,69.49,49.9,45.02,38.43,48.0,13.8,51.8,23.05,46.35,50.0,36.79,42.9,45.3,46.59,41.16,50.82,40.03,61.5,67.7,37.56,5.22,73.92,30.16,74.7,84.72,86.13,46.44,37.88,48.48,97.2,25.6,25.4,36.2,24.6,40.3,70.7,71.85,83.29
veloVI,41.3,83.36,91.75,34.8,67.7,48.8,30.4,55.7,67.6,59.9,71.9,72.7,81.7,80.2,83.99,89.4,43.06,35.41,46.17,31.13,41.8,45.6,79.1,35.25,51.25,48.07,19.06,11.16,21.37,45.64,23.98,34.68,37.62,33.4,30.96,44.61,63.4,45.6,40.4,58.3,44.2,49.4,48.8,39.29,46.65,31.89,38.92,47.83,70.0,59.4,35.2,83.7,72.8,46.7,86.0,78.88,77.73,31.64,50.78,55.37,72.8,81.6,37.0,91.99,85.3,87.95,87.7,79.23,85.77,40.13,54.41,2.6,3.6,36.0,88.1,0.7,98.3,96.6,92.43,91.64,34.78,13.21,33.94,30.6,40.4,39.52,28.8,40.9,10.38,41.9,31.07,38.34,40.04,36.52,39.17,88.38,61.0,29.43,91.02,74.54,84.24,76.3,89.25,80.97,47.43,68.86,65.04,51.8,89.2,81.0,78.9,73.8,81.4,87.7,83.03,68.59
