Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
scVelo dynamical,1.1359948,1.26073855,1.26073855,1.3470725,1.2462331,1.5117703,1.57998635,0.28994824,2.07459875,1.7789492,0.156211795,1.35563225,1.18244285,0.337931365,1.56768895,1.21845205,0.21784185,1.5450062,0.092098775,1.5980496,1.6729488,0.654974835,1.7010479,0.371364355,1.74076065,0.65520282,1.5032968,0.252884,1.35824035,0.36598414,1.3812155,1.39530855,0.6613074,1.45188385,0.38698462,1.43444885,0.60252774,1.4813387,0.227434995,1.06761505,1.1274872,1.33375125,1.30430275,1.31317245,0.33142811,1.42386035,1.35742705,1.36015975,0.14408632,1.7789509,0.078954647,1.3764318,1.57002065,1.2442711,1.5884468,0.327106225,1.59872175,0.21913879,1.6318234,0.289123485,1.4585664,0.20237815,1.542046,1.1322859,0.726482375,1.62301705,0.76282812,1.1952144,0.5080123,1.6517053,,2.0745939,0.081373332,1.86429875,0.929863185,1.27575005,1.11987345,,0.91585823,0.20329797,1.0928135,1.05702755,1.17622995,1.3478586,1.2805949,1.34627915,1.3713709,1.39986415,1.2687631
scVelo stochastic,1.1359948,1.26073855,1.26073855,1.3470725,1.2461809,1.5118322,1.57998635,0.28984745,2.07460535,1.7789492,0.156211795,1.35563225,1.18247605,0.337931365,1.56768895,1.21845205,0.217799365,1.5449792,0.092354528,1.5983702,1.67286525,0.6549812,1.70110635,0.37134259,1.74076065,0.65568656,1.5032968,0.25296112,1.35824035,0.36605346,1.38116825,1.39530855,0.66131502,1.45187935,0.386868765,1.43444885,0.60252774,1.4813387,0.22741323,1.06755875,1.12747095,1.33375125,1.30430275,1.31317245,0.331513565,1.42242005,1.35742705,1.3601615,0.14407603,1.7794302,0.079031878,1.3762413,1.57002065,1.24937785,1.5884468,0.32704653,1.59629615,0.21913879,1.6318234,0.29444434,1.46477705,0.20152931,1.5420966,1.49153195,0.6758068,1.62314875,0.7792847,1.5767143,0.5079351,1.6517053,0.150119495,2.12565885,0.081538818,1.86447525,0.91934835,1.31845225,1.1575916,0.086108843,0.91585823,0.20329797,1.0928135,1.0845164,1.1762672,1.3478586,1.28996915,1.34627915,1.3713709,1.39986415,1.2687631
SDEvelo,1.1658811,1.2622447,1.2622447,1.352133,1.1534594,1.5075445,1.5740541,0.19708152,2.13812185,1.27842955,,1.3512331,0.3602795,0.14947776,1.58089,1.34031045,0.18478692,1.2885022,0.09358266,1.6084107,1.6310387,,1.70259045,0.2103802,1.7115331,,1.5067987,0.20222806,1.2768724,0.36725646,1.3778969,1.3509911,,1.4490321,0.2547886,1.3986727,,1.4795492,0.1931815,0.9657782,1.13245075,1.3951596,1.3081211,1.4523551,0.23387033,1.5115692,1.34031045,1.36376215,0.15397471,1.27842955,0.081114015,1.3785104,1.5007335,1.27437475,1.5861198,0.270192935,1.5346665,,1.6241299,0.20655702,0.9808287,0.206234965,1.5114872,1.31739135,0.22741863,1.6073855,0.560605765,1.45206335,,1.65165425,0.16739605,2.13812185,0.099635593,1.8532133,0.6708069,1.37238425,1.0973458,0.09463526,0.58795038,,1.06810885,0.6332849,1.16715705,1.3541484,1.29639715,1.3481774,1.405046,1.40748915,1.26093485
STT,1.0461244,1.0528637,1.0528637,1.1134359,1.07957155,1.1770307,,,1.57096775,1.35554375,0.060584448,1.06553955,0.8221387,0.076062055,1.223257,1.11917365,,1.14771525,,1.2204195,1.28101615,0.21891475,1.29269185,,1.1630892,,1.25395885,,,,,,,1.1208667,,1.03807275,,1.2022428,,0.97271225,1.012562,1.10613205,1.11228855,,,1.1167082,1.12177475,1.11689615,,1.35554375,,1.1279246,1.20641955,1.168492,1.1963537,,1.1830173,0.116290245,1.31031695,,1.1611631,,1.18694655,,0.16774559,,1.0356495,,,,,1.5716955,0.037134432,1.65058415,1.3174158,1.2814263,1.2988732,,1.2735608,,1.3838571,1.00869895,0.995012195,,1.10477965,1.14456055,1.1536348,1.16521185,
TFvelo,1.577685898,1.711341034,1.711341034,1.653467611,1.54063696,1.623513101,1.681234669,0.284251101,2.131796161,1.822856622,0.299803376,1.464528978,1.174666598,0.455361036,1.818208043,1.63488258,,1.400647709,0.345739407,1.662230692,1.738003522,1.03764851,1.839258344,1.150237453,1.83929375,0.716555738,1.633425574,,1.528100251,1.035066941,1.446887788,1.574866347,0.71971101,1.517946827,1.060064634,1.586400315,0.460352379,1.679720294,,1.298355043,1.314592278,1.537809464,1.660982632,1.63066921,0.968930137,1.579459445,1.653765638,1.621002771,,1.822874066,0.468406026,1.708070417,1.766111189,1.594417933,1.867735133,1.216931932,1.761992062,0.150150779,1.848704812,,1.585570552,,1.549373832,1.610925027,1.055754184,1.655369421,1.004693129,1.682266842,0.596438906,1.682568697,,2.131787583,0.290694766,1.923287404,1.159063974,1.853510691,1.4011298,0.880039716,1.035371354,,1.357089843,1.352403184,1.498204304,1.639859452,1.597260487,1.584596933,1.658043416,1.638970992,1.470220031
TopicVelo,,,,,,,,,,,,,,,,,,,0.10719928,1.5976163,,,,,,,,,,,,,,,,,,,,,,1.38951475,1.14972935,,,1.51174865,,,,1.2448401,0.08520732,,,0.7325163,,,,,,,,0.18871927,,,,,,,,,,2.0130613,0.075661555,,,0.6401575,,,,,,,,1.352566,1.0510039,1.3451588,1.4062212,1.3380138,
UniTVelo,1.1470562,1.27251555,1.27251555,1.3495536,1.32418085,1.5128839,1.578031,0.30690023,2.13425755,1.7794385,0.12842989,1.3625456,1.0546004,0.322459025,1.57562695,1.2520035,0.21832612,1.5386332,0.092608,1.5986934,1.6752868,0.725113985,1.70299885,0.373127105,1.72222995,0.65568656,1.5032968,0.25451982,1.35569,0.36606136,1.38137665,1.39523835,0.82150275,1.4530113,0.3871984,1.43476985,0.60252774,1.4813387,0.22902307,1.0400033,1.1489792,1.33050495,1.2833796,1.31128995,0.335867865,1.42716495,1.2520035,1.36015975,0.14545299,1.77985685,0.078675352,1.3754007,1.5705231,1.2447983,1.59103995,0.327811,1.5985566,0.21913879,1.631577,0.29260831,1.4546015,0.20224724,1.5421238,1.14493575,0.728300825,1.61654875,0.76345225,1.198733,0.5079351,1.6517053,0.152020095,2.0768626,0.080953585,1.86451125,0.95354527,1.27803525,1.1325769,0.088945592,0.8950248,0.20329797,1.09269435,1.0572521,1.17628535,1.34936465,1.28260685,1.3458847,1.36824155,1.39986415,1.2687631
VeloAE,1.70748015,1.8202673,1.8059391,1.75830205,1.7593741,1.81715715,1.86578375,,1.86952005,1.6870082,,1.73072565,,,1.8512767,1.62651575,0.234385985,1.96019795,0.037398736,1.89873485,2.09048345,,1.90220045,0.3126131,2.1990943,,1.76588425,0.27090763,1.77097725,1.06061645,1.79218335,1.76625955,,1.84754105,0.351748735,1.73512335,,1.7604034,0.247620865,1.72152305,1.71774415,1.76503115,1.74845675,1.7669469,0.21383725,1.7560767,1.64603675,1.84181215,0.16445592,1.85045715,0.034369415,1.5979044,1.9245027,1.6677494,1.9050166,0.339519395,1.97277665,,1.872622,0.255107545,1.72971355,0.14758966,1.6478566,1.8697118,,1.69746735,1.63642115,1.8923533,,1.8064859,0.18408454,2.28720365,0.014397045,2.4585431,2.06439085,2.18315775,2.03301175,0.046358099,1.64169605,,1.79962245,1.76102865,1.75322085,1.75951415,1.65031535,1.70229035,1.7439975,1.7715139,1.71188285
velocyto,0.867611558,0.656828409,0.656828409,1.09337856,1.501913063,1.648226899,1.430566419,0.122430873,2.094487364,1.730644233,0.105842867,0.895954833,0.316327814,0.166661042,1.250824592,0.943057205,0.228538842,1.747614617,0.120176672,1.777516555,0.994536936,0.251327879,1.282647372,0.418889308,1.032819259,0.288396071,0.953073971,0.269537199,1.574644382,1.55622549,1.570897592,1.025981184,0.23409526,1.121269506,0.416859255,0.931419457,0.307942938,1.19556249,0.237789226,1.337379442,1.399313015,1.074520119,1.023281652,1.168463627,0.369698233,1.063422619,0.854222149,0.976753541,,1.820406417,0.095450992,1.482457259,0.878690301,1.096183542,0.991809684,0.357091372,0.847026306,0.157773313,1.17338907,0.199805895,1.68768502,0.21687388,1.570897592,0.995434783,0.23851308,1.145594608,1.394636228,0.977481566,0.29922123,1.139127534,0.12546483,2.089680882,0.093635014,2.287966753,0.342375948,0.905377603,0.425679539,0.100763713,0.417167477,0.167106514,0.785568714,1.417514681,1.435351833,1.164220223,0.918955936,1.157905492,1.183812937,1.000478027,1.069747106
VeloVAE,1.0459248,0.8635797,0.8635797,1.29218785,1.1688185,1.5072733,1.5762575,0.10542638,2.1315862,1.75599325,0.14621214,0.77610585,0.49612646,0.18509344,1.26104775,1.05174815,0.18106863,1.5254792,0.105917192,1.61671215,1.51806585,0.71981325,1.70579815,0.238794485,1.50688385,0.76826954,1.3715827,0.199792595,1.3664046,0.67858815,1.38080715,1.41261825,0.6057503,1.4511583,0.280709995,1.43070595,0.62018705,1.48285755,0.181334495,0.43023975,1.157534,1.33317265,1.211599,1.30641565,0.24347125,1.41627775,1.05174815,1.3296169,0.114056668,1.75599325,0.067006378,1.37991895,1.4323127,1.14259165,1.57777665,0.204103155,1.3693637,0.173692535,1.6319702,0.195504995,0.95031108,0.17166964,1.51828295,1.03540315,0.27377096,1.59481755,0.53310895,1.1612214,0.386287685,1.6269351,0.13269537,2.1315862,0.050387125,1.87262265,0.54052897,1.07929195,1.11578285,0.069923602,0.658988665,0.165761325,1.0221149,0.4181723,1.1724291,1.34857885,1.1475769,1.34576415,1.36944425,1.3569893,1.27286415
veloVI,1.1418646,1.2877639,1.2877639,1.3483616,1.3724289,1.51330095,1.5823892,0.267674515,2.1426568,1.8120118,0.12312139,1.37757465,1.3233755,1.03587045,1.58026835,1.20842455,0.22231444,1.5724138,0.097131325,1.6366806,1.6853203,1.1509929,1.7187271,0.42323002,1.74708895,1.1094733,1.7269386,0.26924443,1.36349705,0.698975025,1.4298214,1.4156158,1.0055112,1.4813787,0.410155435,1.45837105,0.8026662,1.5171474,0.26676856,1.12218575,1.1630319,1.3185978,1.30869505,1.2911593,0.33669302,1.40821765,1.4410673,1.3949713,0.141189105,1.8191868,0.088785808,1.38819445,1.5730679,1.27131905,1.6191663,0.34604911,1.60999935,0.20463376,1.6845488,0.318221595,1.5475224,0.21763093,1.5677483,1.7643596,1.4787241,1.6451933,1.3412812,1.8183802,0.746337315,1.6708078,0.148598,2.0909555,0.09235795,2.1260936,1.6513474,1.31460515,1.82151135,0.08303149,1.6253279,0.1635366,1.7590529,1.2112099,1.2242003,1.3436049,1.3005699,1.3345257,1.36616345,1.3812733,1.2902016
