Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500,AVG,Reversed_rank
scVelo dynamical,0.66,0.57,0.57,0.61,0.65,0.2,0.8,0.44,0.82,0.85,0.54,0.68,0.57,0.48,0.85,0.62,0.59,0.46,0.54,0.57,0.56,0.4,0.62,0.59,0.52,0.47,0.77,0.63,0.26,0.25,0.3,0.43,0.28,0.35,0.58,0.35,0.3,0.71,0.64,0.69,0.67,0.75,0.69,0.54,0.57,0.67,0.59,0.29,0.73,0.83,0.62,0.92,0.88,0.94,0.79,0.76,0.82,0.48,0.94,0.52,0.52,0.56,0.61,0.52,0.53,0.71,0.5,0.69,0.59,0.53,,0.83,0.46,0.81,0.05,0.9,0.36,,0.09,0.39,0.95,0.29,0.64,0.7,0.54,0.53,0.63,0.55,0.29,0.58,14
scVelo stochastic,0.52,0.52,0.52,0.67,0.56,0.57,0.68,0.51,0.84,0.85,0.52,0.56,0.41,0.51,0.84,0.38,0.63,0.51,0.56,0.7,0.65,0.45,0.61,0.6,0.57,0.49,0.51,0.6,0.54,0.4,0.58,0.52,0.43,0.44,0.53,0.44,0.48,0.41,0.58,0.51,0.54,0.74,0.69,0.75,0.55,0.75,0.34,0.38,0.83,0.85,0.59,0.88,0.85,0.94,0.85,0.78,0.84,0.52,0.91,0.55,0.68,0.55,0.75,0.52,0.51,0.72,0.5,0.64,0.47,0.51,0.76,0.84,0.57,0.54,0.55,0.9,0.72,0.71,0.5,0.48,0.55,0.49,0.55,0.74,0.56,0.71,0.64,0.59,0.34,0.61,17
SDEvelo,0.25,0.5,0.5,0.48,0.67,0.56,0.38,0.54,0.19,0.5,,0.38,0.48,0.55,0.58,0.32,0.59,0.57,0.5,0.59,0.48,,0.7,0.6,0.46,,0.48,0.66,0.68,0.61,0.64,0.46,,0.21,0.7,0.46,,0.38,0.7,0.61,0.64,0.35,0.47,0.51,0.67,0.24,0.32,0.22,0.64,0.5,0.49,0.8,0.88,0.81,0.84,0.68,0.77,,0.89,0.59,0.58,0.51,0.61,0.4,0.46,0.5,0.52,0.51,,0.37,0.72,0.19,0.49,0.82,0.33,0.34,0.92,0.57,0.93,,0.94,0.52,0.61,0.33,0.55,0.38,0.25,0.6,0.33,0.54,11
STT,0.5,0.51,0.51,0.53,0.55,0.68,,,0.48,0.73,0.47,0.5,0.54,0.67,0.67,0.49,,0.53,,0.54,0.53,0.41,0.49,,0.57,,0.59,,,,,,,0.44,,0.45,,0.55,,0.53,0.59,0.55,0.6,0.49,,0.5,0.5,0.52,,0.73,,0.88,0.67,0.94,0.79,,0.7,0.61,0.66,,0.49,,0.64,,0.5,,,0.48,,,,0.51,0.56,0.59,0.47,0.84,0.45,,0.49,,0.52,0.5,0.57,,0.53,0.59,0.49,0.58,,0.57,13
TFvelo,0.64,0.48,0.48,0.55,0.48,0.48,0.51,0.66,0.32,0.34,0.46,0.47,0.47,0.46,0.51,0.49,,0.48,,,0.55,0.36,0.56,0.5,,0.36,0.48,,0.4,0.48,0.39,0.43,0.46,0.49,0.55,,0.43,0.57,,0.48,0.35,0.34,0.54,0.71,0.55,,0.38,0.31,,0.34,0.52,0.43,0.76,0.48,0.65,0.57,0.65,0.48,0.34,,0.52,,,0.41,0.52,0.34,0.5,,0.57,0.36,,0.32,0.45,0.53,0.58,0.32,0.83,0.59,,0.64,0.54,0.36,0.47,0.55,0.48,0.61,0.52,0.58,0.34,0.49,5
TopicVelo,,,,,,,,,,,,,,,,,,,0.52,0.5,,,,,,,,,,,,,,,,,,,,,,0.66,0.59,0.49,,0.52,,,,0.42,0.57,,,0.27,,,,,,,,0.52,,,,,,,,,,0.37,0.59,,,0.46,,,,,,,,0.55,0.57,0.54,0.56,0.44,,0.51,6
UniTVelo,0.63,0.62,0.62,0.53,0.56,0.39,0.31,0.52,0.82,0.81,0.5,0.72,0.47,0.52,0.81,0.58,0.61,0.52,0.55,0.58,0.6,0.53,0.69,0.61,0.56,0.6,0.69,0.66,0.53,0.55,0.47,0.57,0.59,0.6,0.66,0.58,0.61,0.57,0.67,0.61,0.64,0.66,0.69,0.4,0.69,0.71,0.58,0.49,0.68,0.82,0.52,0.88,0.8,0.93,0.75,0.74,0.76,0.54,0.9,0.57,0.59,0.54,0.61,0.54,0.53,0.69,0.52,0.63,0.49,0.44,0.73,0.83,0.49,0.79,0.6,0.89,0.62,0.61,0.7,0.51,0.83,0.57,0.64,0.61,0.54,0.52,0.55,0.57,0.55,0.62,18
VeloAE,0.43,0.55,0.48,0.53,0.25,0.28,0.18,,0.75,0.53,,0.62,,,0.31,0.37,0.47,0.43,0.49,0.49,0.69,,0.52,0.42,0.54,,0.44,0.38,0.59,0.72,0.21,0.36,,0.48,0.3,0.54,,0.71,0.34,0.2,0.38,0.47,0.42,0.5,0.26,0.58,0.33,0.21,0.51,0.58,0.48,0.37,0.67,0.89,0.33,0.48,0.41,,0.61,0.44,0.36,0.49,0.49,0.51,,0.49,0.51,0.52,,0.45,0.63,0.83,0.37,0.8,0.04,0.86,0.93,0.61,0.49,,0.83,0.23,0.52,0.59,0.44,0.62,0.54,0.5,0.29,0.49,4
velocyto,0.65,0.6,0.6,0.66,0.53,0.7,0.71,0.65,0.84,0.85,0.47,0.73,0.5,0.49,0.83,0.68,0.58,0.45,0.49,0.65,0.46,0.39,0.59,0.61,0.42,0.42,0.64,0.61,0.35,0.63,0.58,0.63,0.49,0.77,0.61,0.67,0.45,0.67,0.61,0.36,0.51,0.61,0.64,0.66,0.68,0.62,0.61,0.72,0.75,0.85,0.58,0.91,0.62,0.93,0.57,0.66,0.57,0.47,0.67,0.51,0.51,,0.79,0.64,0.49,0.69,0.53,0.62,0.53,0.71,0.75,0.83,0.52,0.79,0.82,0.89,0.83,0.72,0.92,0.61,0.88,0.48,0.61,0.55,0.56,0.63,0.46,0.55,0.59,0.63,19
VeloVAE,0.55,0.58,0.55,0.51,0.57,0.49,0.22,0.47,0.83,0.59,0.5,0.65,0.53,0.49,0.5,0.61,0.51,0.59,0.53,0.59,0.29,0.32,0.56,0.54,0.3,0.58,0.3,0.5,0.55,0.61,0.36,0.46,0.55,0.82,0.59,0.41,0.41,0.51,0.53,0.44,0.84,0.55,0.48,0.31,0.6,0.43,0.57,0.42,0.46,0.55,0.49,0.69,0.59,0.48,0.29,0.53,0.62,0.47,0.6,0.47,0.49,0.49,0.64,0.66,0.46,0.72,0.52,0.57,0.46,0.48,0.56,0.83,0.56,0.84,0.89,0.37,0.11,0.52,0.86,0.49,0.82,0.71,0.69,0.31,0.43,0.43,0.35,0.58,0.72,0.53,10
veloVI,0.68,0.66,0.66,0.66,0.73,0.82,0.8,0.49,0.83,0.85,0.53,0.73,0.59,0.52,0.86,0.57,0.62,0.66,0.53,0.73,0.74,0.62,0.78,0.62,0.68,0.55,0.82,0.58,0.8,0.54,0.81,0.73,0.59,0.82,0.57,0.66,0.49,0.75,0.54,0.76,0.8,0.74,0.69,0.83,0.51,0.77,0.5,0.71,0.63,0.85,0.58,0.93,0.9,0.94,0.92,0.83,0.88,0.51,0.93,0.51,0.81,,0.88,0.68,0.48,0.9,0.52,0.69,0.56,0.93,0.73,0.83,0.57,0.84,0.86,0.88,0.92,0.78,0.75,0.49,0.94,0.65,0.79,0.76,0.56,0.72,0.74,0.59,0.61,0.71,20
