Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
scVelo dynamical,4.287780378,2.401648162,2.401648162,4.094550328,3.049587616,4.746567321,5.277195964,0.237619175,3.103757497,3.181111149,0.12787217,3.22390364,1.482841751,0.280933264,2.846143414,5.072401652,0.188190864,2.021574232,0.077816942,2.292053319,2.422626869,0.57853007,2.688662871,0.313374035,2.591994932,0.569019793,1.762016069,0.21410638,3.02908412,0.309048166,2.268904871,2.75114407,0.585221625,2.780238985,0.328131594,2.700070398,0.523815094,3.408082418,0.195966752,1.576170588,2.2927583,6.733682416,6.069765956,5.900292844,0.281890853,9.863727962,2.408294385,2.48616911,0.120751047,3.181059865,0.066396871,1.613633883,1.966740895,1.554432155,1.980654708,0.273170579,1.998674332,0.178507138,2.028237917,0.252845558,2.557086796,0.173369282,2.85546928,4.889284481,0.664069382,3.307833291,0.930476284,7.229429083,0.425770225,3.641327985,,3.103745551,0.068180375,2.219159364,0.815202185,1.548721264,0.991849574,,0.798748413,0.165463877,0.956357956,1.426249732,1.862657895,5.144583987,3.442003343,4.288586456,5.886170911,4.57589168,2.081043655
scVelo stochastic,4.28734151,2.401648162,2.401648162,4.094550328,3.049470887,4.746465927,5.277195964,0.23753604,3.103770946,3.181116297,0.12787217,3.22390364,1.482883386,0.280933264,2.846143414,5.072401652,0.188156194,2.02135145,0.078039402,2.292276956,2.422309179,0.578539755,2.688883183,0.313358446,2.591994932,0.56938284,1.762016069,0.214172173,3.029085032,0.309180039,2.269243074,2.750905415,0.585226452,2.780155489,0.328021134,2.700070398,0.523815094,3.408082418,0.195959767,1.576317164,2.292843754,6.733682416,6.069765956,5.900292844,0.281962372,9.949897613,2.408294385,2.486586732,0.120738154,3.18702985,0.066464479,1.613503997,1.966740895,1.561221219,1.980654708,0.273133911,1.993172652,0.178507138,2.028237917,0.257545489,2.514241398,0.172872118,2.855862165,2.479319074,0.60990955,3.306083053,0.825730575,2.813765138,0.425720776,3.641327985,0.12469773,3.199757421,0.068308305,2.219762751,0.794516946,1.582004882,1.024852998,0.069555514,0.798748413,0.165463877,0.956357956,1.355451416,1.862637759,5.144583987,3.67697396,4.288586456,5.886170911,4.57589168,2.081043655
SDEvelo,1.715323383,1.499615857,1.499615857,4.189584336,1.69645218,4.57884454,5.113637427,0.18657354,3.024485621,1.360639041,,1.973558297,0.299847737,0.138077285,2.85438768,2.301358019,0.154153569,1.428403463,0.07888254,2.297976111,2.080664093,,2.677825347,0.172951221,2.219764353,,1.768228063,0.169651694,1.866143782,0.310411461,2.279344853,1.977582672,,2.635008172,0.210369466,1.804694887,,3.370113154,0.161274542,1.122889927,2.317254703,4.958038382,6.197597308,6.536207157,0.193867899,7.148931074,2.301358019,2.504016167,0.12785438,1.360639041,0.068397619,1.613222686,1.723834783,1.588451933,1.983073632,0.223552339,1.751594768,,2.009958772,0.174289116,1.085234595,0.177755357,2.715320447,2.039017318,0.235015336,3.191185776,0.526916737,2.385257077,,3.549456912,0.137661746,3.024485621,0.084622032,2.200888805,0.560435421,1.591803821,0.962026988,0.076686693,0.487216615,,0.931132954,0.570600241,1.768760259,4.131300301,3.746384661,4.137968099,4.539576786,4.487914559,2.009348047
STT,4.28433389,3.794180196,3.794180196,4.436069589,2.920544462,4.019497641,,,2.669958408,2.827878191,0.143771356,2.857690486,1.158352279,0.27440222,2.783634933,4.357371553,,1.890714419,,2.125021678,2.040635892,0.43313947,2.338179571,,1.590923606,,2.05298311,,,,,,,2.743415412,,1.843461209,,3.876195712,,2.116132668,2.670022699,5.609726683,6.118405821,,,5.679797089,3.115614479,2.723983046,,2.827878191,,1.630210573,1.705182064,1.774882265,1.736694372,,1.64389933,0.189187592,2.026207353,,2.35603742,,2.734946644,,0.220025995,,2.778277569,,,,,2.667905967,0.042538807,2.591457497,1.666325011,1.960268135,1.709103357,,1.614054876,,1.747295366,1.882643353,2.190168275,,3.907429597,4.622778137,4.737427015,4.526642499,
TFvelo,4.044150446,3.354738827,3.354738827,6.57538209,2.28622667,2.849494652,4.016844238,0.232590921,2.951932033,2.723196653,0.248376981,3.001691539,1.260999273,0.380173503,2.756927219,4.728252394,,1.477949838,0.286121853,2.282944123,2.225595406,0.971532721,2.655231862,1.054817745,2.51165456,0.590467131,1.94830352,,2.145030674,1.013916495,2.075002726,2.378696384,0.651305456,2.269310418,1.07392435,2.432995554,0.395659447,3.239920487,,2.19833233,2.430475189,7.474367741,8.21223827,6.87946489,0.976854956,8.855070622,5.733472829,3.100347206,,2.723242208,0.42986845,2.082656057,2.114893863,1.899438356,2.435980197,1.154538043,2.12890792,0.122725172,2.425568156,,2.160486491,,2.135097692,2.245511006,0.980352515,2.758660342,1.002345737,2.46504912,0.50564587,2.714258716,,2.951942493,0.24478716,2.11143993,1.017901741,2.580366944,1.305264011,0.733173025,0.902830222,,1.237461352,1.820556879,2.540601087,4.998942025,5.729304799,5.80428006,5.590790175,6.116402503,2.375493592
TopicVelo,,,,,,,,,,,,,,,,,,,0.090838333,2.286985559,,,,,,,,,,,,,,,,,,,,,,4.901670776,1.25644315,,,7.189451844,,,,1.315233362,0.072288927,,,0.636431721,,,,,,,,0.161451321,,,,,,,,,,2.841455159,0.063907426,,,0.558831335,,,,,,,,4.098176178,1.038979582,4.123535743,4.514088578,1.602511073,
UniTVelo,4.088364657,1.950361567,1.950361567,4.148096884,3.404544194,4.743413971,5.268565528,0.250920105,3.208482526,3.188563886,0.104602796,3.288144915,1.047138595,0.265686716,2.864546328,4.721397771,0.188342388,2.003228766,0.078233105,2.293024069,2.414527914,0.693650319,2.709620039,0.314294968,2.508827596,0.56938284,1.762016069,0.215090913,3.033918449,0.309085341,2.269413695,2.868657573,0.832600482,2.767219401,0.327754084,2.834398459,0.523815094,3.408082418,0.196998544,2.193691989,2.977548849,6.926475515,5.690426437,5.905593148,0.285730906,9.817929416,4.721397771,2.48616911,0.121790283,3.190841566,0.066178326,1.614115616,1.971145391,1.5546109,1.992892716,0.273470281,1.991348461,0.178507138,2.027466872,0.255425675,2.550338808,0.173254799,2.855861897,4.876475874,0.666929749,3.28048862,0.93063473,7.194146465,0.425720776,3.641327985,0.126189905,3.108764732,0.067883178,2.219754302,0.8341164,1.553623797,1.001199634,0.071784282,0.778215644,0.165463877,0.956258203,1.432491181,1.863098062,5.131903823,3.471198342,4.392359414,5.745772852,4.57589168,2.081043655
VeloAE,11.47358416,6.14969255,5.935910417,5.356825538,5.66514659,9.627507293,7.240440623,,2.290662735,2.210640578,,5.490760149,,,3.4459621,10.75702713,0.210476487,4.323437844,0.043188724,4.516466078,5.598680436,,4.317467103,0.265414911,6.076534217,,2.440348433,0.242832524,6.099544922,1.053035124,7.086623948,6.605948927,,8.605961216,0.305673459,6.706998373,,6.249995873,0.217838373,6.66965819,6.397204497,6.43595324,9.388681566,8.007234643,0.181458025,8.195691784,11.68133359,9.465502267,0.15646754,3.34095916,0.039373307,2.288286403,3.635075294,2.277296503,3.241907847,0.30100993,3.783304472,,3.208149172,0.234067939,4.660849655,0.158321212,3.41803149,6.259465511,,4.522987263,3.722196169,10.96484627,,6.918820612,0.159866181,3.653469061,0.015516246,4.216963198,2.639611336,3.04817897,2.898915838,0.038011076,1.824343481,,2.162199228,5.938044343,7.664051236,4.596627558,5.918740215,5.777409633,5.027226042,6.103308548,4.654119142
velocyto,1.327189937,0.601254104,0.601254104,3.514301651,8.528191412,10.05522782,2.797731603,0.12535477,3.011253129,2.557429747,0.111282566,1.121392145,0.323322074,0.175499294,1.740699794,1.713777763,0.195274122,3.621090376,0.099838158,3.826752419,1.074362356,0.271375231,1.576026593,0.352066309,1.073009806,0.288629072,0.942101312,0.226668543,6.993013147,2.775714407,5.39832437,1.370608788,0.247649373,1.290805796,0.351931657,1.007140594,0.303410942,1.578565084,0.201749546,3.563433455,6.597834644,3.845268155,1.987799374,3.480542714,0.313040969,3.951949081,0.841000092,1.058773581,,3.239949177,0.079508949,1.960605566,0.85851352,1.264914793,0.956535554,0.302642296,0.802073116,0.153547745,1.219550398,0.168181844,3.957280086,0.180668409,5.39832437,1.258127846,0.26820865,1.580067087,2.135394446,1.214510244,0.30173769,1.578912331,0.103056699,3.13672969,0.077211332,3.526297807,0.285612517,1.037656147,0.357141021,0.081846168,0.348253749,0.157141665,0.665981882,2.674815252,4.704563645,3.735355613,1.235415219,2.019455217,3.79959786,1.130251935,2.051306999
VeloVAE,1.22802104,0.888151568,0.888151568,4.41243694,2.547474791,4.762659845,5.302419915,0.089383738,3.230551834,3.026758257,0.123209686,0.748821816,0.443068656,0.158908866,1.779334539,1.154913552,0.154915156,2.013989769,0.093418601,2.365766912,1.879427094,0.697531918,2.700912382,0.198946695,1.830685974,0.728198109,1.559236377,0.169727823,2.074048787,0.67555437,2.113287753,2.168373567,0.558952711,2.518590127,0.234624745,2.195972384,0.57342907,3.434258311,0.155051426,0.795661817,2.062966482,6.787038527,2.548349911,5.85581965,0.204205263,9.195455453,1.154913552,2.469043755,0.095740922,3.026758257,0.059232655,1.619647133,1.611566646,1.267060488,1.980187975,0.168764892,1.46030344,0.146693371,2.053845643,0.168347323,1.257791434,0.154085752,2.926102883,1.659745977,0.237694714,3.226026029,0.664510863,1.913458576,0.33369183,3.524972676,0.109734388,3.230551834,0.044401685,2.218413139,0.45231401,1.155664563,0.998569378,0.056537512,0.555483507,0.138812531,0.906641221,0.415391297,1.766299742,5.352620201,1.60010544,4.39264206,5.951620762,2.217523226,2.020777862
veloVI,4.896300188,5.017910269,5.017910269,4.235660464,4.070577173,4.753213725,5.893257716,0.22992047,3.234493832,3.406485632,0.109187958,3.56614055,2.463316675,1.061730053,2.884177679,5.740945297,0.190952022,2.108848994,0.082784922,2.483415264,2.481788387,1.495101149,2.865928168,0.356345562,2.668294834,1.163520515,2.420020167,0.227490005,3.114837108,0.746105172,3.387756823,3.271278108,1.508684253,3.911122877,0.347781206,3.502212581,0.840160989,4.845701287,0.228651077,4.282925311,3.88990467,7.002410488,6.53907429,6.161290216,0.286319292,10.17403398,4.287272584,4.087267446,0.118162189,3.443276194,0.07500174,1.634197332,1.983881013,1.620766523,2.088813632,0.287973579,2.048824018,0.17056644,2.218331983,0.27754729,3.070995222,0.186873761,2.955430356,7.29929318,2.989369041,3.544041138,2.90702622,8.436921678,0.751989039,3.914696885,0.122647262,3.144104866,0.078413351,2.931553204,1.841553239,1.637359997,1.974473153,0.066801232,1.784200352,0.13742721,1.910378572,3.119472476,2.396594425,5.335002044,4.801465282,4.797037289,5.952167768,5.69425705,3.688831047
