Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene100000,disconnected_cell1000_gene500,disconnected_cell1000_gene50000,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
scVelo dynamical,0.721744024,-0.085597763,-0.085597763,0.408424663,0.843374798,-0.165660021,0.624318105,0.591129939,-0.135851961,0.629494924,0.416627341,-0.041421863,0.750311582,-0.3352833,0.01673439,0.092749715,0.058418446,-0.041285796,0.225784386,0.703371435,0.093341593,0.03279447,0.407314334,0.429044857,0.733851225,0.669789515,-0.854599459,-0.66854936,-0.836557644,-0.622296198,-0.636487492,-0.794166285,0.68818182,-0.8265178,-0.597556699,0.825931082,0.842960899,0.807877502,0.69577787,0.640963894,0.701312372,-0.156042419,0.687034315,0.386772778,0.294878404,-0.648124379,0.686711159,0.340431493,0.172086277,0.741881635,0.9106475,0.980969587,0.9598571,0.839075136,0.827624326,-0.210166629,0.953961991,-0.052058411,-0.261643895,-0.040834523,0.454580359,0.673945358,-0.026597971,-0.29191761,0.509372365,-0.063978038,-0.018338878,0.36782291,0.269916912,-0.89865904,,0.635895582,-0.626179146,0.82936138,-0.770577947,0.818533555,-0.880283989,,-0.678665014,-0.713525336,0.896210911,-0.729991061,0.292531292,0.16884061,0.391343278,-0.384331696,-0.191030555,0.034298737,-0.823321693
scVelo stochastic,0.300939867,-0.238607817,-0.238607817,0.701858139,0.374492614,0.093561813,0.633600931,0.693694408,-0.027405995,-0.467362213,-0.449575705,-0.117948774,0.730925871,-0.752952708,-0.09621932,-0.33070189,-0.019594392,0.152585552,-0.16602757,0.268186001,0.317720022,-0.206968029,0.04188383,-0.21008115,0.495661614,0.5668208,0.478034591,-0.398498461,0.474888918,-0.212590013,-0.279947175,-0.563945882,-0.150217971,-0.56738981,-0.089781956,-0.287350775,0.615460575,-0.084070427,0.558781722,0.613591025,0.701114103,0.637675126,0.432749012,0.662873122,-0.797727967,-0.45431139,0.789173231,0.703057878,0.022876911,0.724317188,0.884931533,0.975525424,0.953293224,0.557581432,0.832319593,-0.003301526,0.944817448,-0.005215956,0.666566279,0.081254945,0.666303209,0.061699555,0.125556823,0.002718631,0.762846315,-0.086368495,0.006230135,0.525059155,0.039981549,-0.832206605,0.696087937,0.645970006,-0.120387974,0.852496508,-0.838680756,0.818790702,0.844160348,0.619427105,-0.80859136,-0.091047834,-0.409302995,0.081450376,-0.180684104,0.40569168,0.598284014,0.503023847,0.211179098,0.57956367,-0.74579484
SDEvelo,0.012458579,-0.24540922,-0.24540922,0.29300763,0.222335333,,0.305743969,0.103067118,,0.06173344,-0.067183994,,0.265279878,-0.527682107,0.02919781,-0.111185345,-0.009794648,0.06047521,0.175801143,,0.192069614,0.012353489,-0.008104984,,0.351913502,0.052582184,0.058359837,-0.044781859,0.096084885,0.163284948,,-0.037644545,0.028360869,-0.351281663,,0.02433298,0.063561935,-0.085981254,0.07764766,0.384948378,0.367553088,0.214971314,0.034680527,0.142813931,-0.527682107,-0.187021121,0.202885444,0.103067118,0.00630368,0.110306501,0.530984714,0.871418646,0.865018206,0.158025333,0.403583982,,0.736145472,0.029591531,0.195669965,0.024185522,0.120375425,0.127159934,,0.283267556,0.350748675,0.027000463,-0.193417708,0.20507951,,-0.003243962,0.29063485,0.305743969,0.035652138,0.341981707,-0.425040788,0.347265548,0.384485431,0.127219976,-0.537098076,,-0.198478941,-0.049036316,0.028713824,0.068813135,0.303159642,0.170358366,0.101674419,0.261849001,-0.346492328
STT,0.883861908,0.588285671,0.588285671,0.701402458,,,0.61540178,0.448505773,,0.871736732,0.263933797,,0.789986182,0.48312696,,0.284763652,,0.468514134,0.26608669,,0.663023812,,0.31507062,,0.309086783,,,,,,,0.625125994,,0.291929517,,0.681970248,,0.796184385,0.847767534,0.72912791,0.821496523,0.30089517,,0.781566506,0.569263422,0.348289854,,0.448505773,,0.880793439,0.694424154,0.97789766,0.54536638,,0.765127531,,0.87638575,,-0.359723184,,0.543695739,,,,,-0.126168034,,0.750687018,,,,0.615179149,,0.84169128,0.879655879,0.865163039,0.88106375,,0.805844564,,0.8507732,0.670921284,0.830180178,,0.455794028,0.413890768,-0.241892744,0.426123466,
TFvelo,0.751351002,-0.653515892,-0.653515892,-0.247328078,-0.389709494,0.855032431,-0.665520831,-0.652324266,-0.137808764,0.450592808,-0.18881668,-0.035554512,0.693580027,-0.114167257,,-0.110747869,-0.079758012,0.514170618,0.143450944,0.103188134,0.227669831,0.038548084,0.268749106,0.056385311,-0.109221855,,-0.508855199,0.046027025,-0.596024535,-0.720150596,-0.105637929,0.344760002,0.64387445,-0.12501765,-0.054711004,-0.345320212,,-0.108405188,-0.846987877,-0.771768729,-0.211855453,0.542360632,0.574602445,-0.241937092,-0.723189609,-0.815229142,,-0.642444908,0.205848478,-0.107535673,0.887017025,0.860184044,0.669527105,0.493859794,0.692737994,0.04047216,-0.685090393,,-0.650139295,,-0.19373611,-0.633837334,0.316195258,-0.227752417,0.186452025,-0.173349082,-0.256635742,-0.108004907,-0.077146311,0.853293479,,-0.666055567,-0.035668148,-0.476875799,-0.837919172,0.24189312,0.777736941,0.595592257,-0.41138361,,-0.86259602,-0.704369462,-0.343011051,0.003789957,-0.200953346,-0.44162712,0.099469589,-0.621987787,-0.765683829
TopicVelo,,,,,,,,,,,,,,,,,-0.003673238,0.025976077,,,,,,,,,,,,,,,,,,,,,,0.228423094,0.274602403,0.11517473,,0.227480376,,,,0.059101981,0.040950938,,,0.900061085,,,,,,,,-0.190810466,,,,0.367323099,,-0.058849484,,,,,,0.256893745,0.272292037,,,0.536265213,,,,,,,,0.100378558,0.316692835,0.070349234,0.089167478,0.280773604,
UniTVelo,0.614472731,0.742057508,0.742057508,0.402188427,-0.788557764,0.08549921,0.653697039,0.323944798,-0.093887683,0.874249516,0.615983669,-0.049420687,0.715710553,0.510496715,0.217099953,0.168999377,0.172680462,-0.017233463,0.570663047,-0.257484743,0.650280444,0.347679342,0.57718752,-0.402017994,0.594904324,0.759998771,0.162804849,0.271607073,-0.337661228,0.646040654,0.437874188,0.303385196,0.771351231,0.532619759,0.349843518,0.576328212,0.849589366,0.566306465,0.794606524,0.241874109,0.64441731,-0.348580171,0.894528097,0.820016785,0.510496715,-0.241523377,0.741036006,0.628261417,0.019037012,0.780173252,0.931212618,0.979992478,0.950271365,0.816758744,0.90011635,-0.085417167,0.968128795,0.124067623,0.206964563,-0.012902603,0.431784261,0.368006008,0.206519745,-0.129687911,0.705168247,-0.066273016,0.102437783,0.213913322,0.171365739,-0.823027,0.676191814,0.715503923,0.543660163,0.837991698,0.688973987,0.823166864,-0.324175232,0.62259275,0.594177406,-0.299651108,0.857592889,0.43943592,0.445961241,0.052650898,0.510436154,0.214566022,-0.398878993,0.366360505,0.04555803
VeloAE,-0.070599414,0.399247586,0.414567231,0.00300985,-0.659385265,,0.008922633,-0.002054914,,0.166071314,,,-0.027457794,-0.666407243,0,-0.084723821,-0.006979205,0.028100882,-0.192055199,,-0.164760222,0.009516908,-0.200962839,,-0.24551613,-0.669260595,0.197404177,0.102919665,-0.390743234,-0.226592224,,0.037650473,-0.299090587,-0.038172161,,0.574728584,-0.346714217,-0.616343051,-0.167214562,0.055798945,-0.150200954,0.021920263,-0.437724486,0.00632678,-0.677248034,-0.560886216,0.058636771,0.029163219,-0.187194233,0.040533825,0.593841132,0.462681631,-0.270213031,-0.415651768,-0.102947681,,0.345583433,-0.038106788,-0.255546282,-0.002361299,-0.070359698,0.223615113,,-0.0299143,-0.292771335,-0.047270384,-0.446237377,0.220197927,,-0.10081359,0.145881416,0.2112403,-0.05764485,0.328397345,-0.509880922,0.304235466,0.662648982,0.115910091,0.11851366,,0.537203771,-0.47506346,0.162800005,0.11477486,-0.028020708,0.146023145,0.170218876,0.217942104,-0.478180313
velocyto,0.266957656,0.748979717,0.748979717,0.737803448,0.6841313,0.900656846,0.668630941,0.743344803,-0.132022807,0.865623972,0.169370653,0.629950789,0.760870243,0.872117847,0.093792095,-0.271840857,-0.260171161,-0.39077569,-0.204065272,0.060599096,0.4078213,0.103624579,-0.439184763,0.03024263,0.332483125,0.767846565,-0.736479734,0.075252367,0.603748188,0.71979984,0.003646852,0.846540873,-0.423702,0.859665188,-0.14378137,0.810562397,0.585716199,-0.591554427,0.511358667,0.25352596,0.604799142,0.762818752,0.688150571,-0.224970229,0.899177231,0.798188662,0.844894107,0.71339646,-0.062163539,0.855899527,0.650671454,0.980707643,0.792259107,0.269235676,0.083434748,-0.175728637,0.755891369,-0.187001738,-0.347532813,,,0.841691554,-0.284256493,0.416801596,0.895824409,-0.045303567,0.402887867,0.725514367,0.15637016,0.935679291,0.792029519,0.628608081,0.389954655,0.860672343,0.805066911,0.822784835,0.897949366,0.64693639,0.834009715,0.790028207,0.853880715,0.025447961,0.5894331,0.053037309,0.458900935,0.581119481,-0.513572476,0.171164243,0.691093487
VeloVAE,-0.361968404,0.115802761,0.115802761,0.735556733,0.534805411,-0.229067837,0.685054262,0.780135425,-0.198747301,-0.041495668,0.161736417,-0.327764611,0.762068733,0.200372508,-0.060716728,-0.026307815,0.041573432,0.343079197,0.034607978,0.118931511,0.334061628,-0.153324916,0.327220308,0.248377885,0.458840348,0.492309611,-0.749605167,-0.623834664,0.325327532,-0.678992959,-0.147991143,-0.57487134,0.260821941,-0.61898859,0.170547404,-0.597486224,0.41891637,-0.779570664,0.192322985,0.618466958,0.699694044,0.324151464,0.501872681,0.721012873,0.200372508,-0.5717894,0.742604265,0.780135425,-0.049136993,0.789238105,0.58512747,0.974391408,0.903525346,0.724686206,0.378954491,-0.021831221,0.89071728,-0.010151882,-0.362764075,0.342006053,0.575549195,-0.790554254,-0.007836034,0.062942865,0.799336772,-0.351711309,0.250893415,-0.533802985,-0.110109159,-0.745777399,0.789119284,0.685054262,0.669418749,0.86520578,-0.559085122,0.828840404,-0.626934612,0.73487518,-0.17446912,-0.011898023,-0.031171551,-0.745919516,-0.401234416,0.419704904,0.578903263,0.560555616,0.261265915,0.579931791,-0.761577058
veloVI,0.744850201,0.752520697,0.763622146,0.659861362,0.85157473,,0.680653445,0.797583529,,0.870257026,0.514812293,-0.36020433,0.799721032,0.602539093,0.070587892,0.411779346,-0.259000823,0.51066138,0.038974729,-0.217897471,0.667126335,-0.108731145,0.389781733,0.279421504,0.755003691,0.640516078,0.878690921,0.15668318,0.742817566,0.898063829,0.488892182,0.837389426,0.500090954,0.789553601,0.063356637,0.847277865,0.725702487,0.882917399,0.86188059,0.656824675,0.514543732,0.73567703,0.64186065,0.842726195,-0.321496102,0.804160399,0.081701455,0.681952105,-0.164976195,0.686436452,0.917043816,0.980649291,0.971670682,0.794330015,0.912117832,,0.921023802,-0.181326617,0.768514989,0.034415415,0.670731299,0.77116077,-0.509650384,0.392092359,0.896240618,-0.121095479,-0.136818784,0.786415171,-0.042979144,0.978452691,0.692163163,0.621299725,0.244120009,0.828713887,0.874436542,0.82527013,0.886167316,0.709334128,0.893698924,,0.889009482,0.632275429,0.767642406,0.441487285,0.43398205,0.316954276,0.636869656,0.47235765,0.272517733
