CellID,UMAP1,UMAP2
26_human_embryo_E-MTAB-3929:ERR1041461_Aligned.sortedByCoord.out.bam,-0.068022825,12.961508
26_human_embryo_E-MTAB-3929:ERR1041462_Aligned.sortedByCoord.out.bam,-2.0825312,10.915598
26_human_embryo_E-MTAB-3929:ERR1041463_Aligned.sortedByCoord.out.bam,-0.25791237,12.557245
26_human_embryo_E-MTAB-3929:ERR1041464_Aligned.sortedByCoord.out.bam,-0.40709835,12.5370655
26_human_embryo_E-MTAB-3929:ERR1041465_Aligned.sortedByCoord.out.bam,-0.49747893,12.507647
26_human_embryo_E-MTAB-3929:ERR1041466_Aligned.sortedByCoord.out.bam,0.15978685,12.827142
26_human_embryo_E-MTAB-3929:ERR1041467_Aligned.sortedByCoord.out.bam,0.37379032,13.042987
26_human_embryo_E-MTAB-3929:ERR1041468_Aligned.sortedByCoord.out.bam,-1.280573,11.977875
26_human_embryo_E-MTAB-3929:ERR1041469_Aligned.sortedByCoord.out.bam,-1.291556,11.8425255
26_human_embryo_E-MTAB-3929:ERR1041470_Aligned.sortedByCoord.out.bam,-1.2872908,11.835059
26_human_embryo_E-MTAB-3929:ERR1041471_Aligned.sortedByCoord.out.bam,-1.394743,11.59174
26_human_embryo_E-MTAB-3929:ERR1041472_Aligned.sortedByCoord.out.bam,-0.6275465,12.21086
26_human_embryo_E-MTAB-3929:ERR1041473_Aligned.sortedByCoord.out.bam,-0.9981074,12.092014
26_human_embryo_E-MTAB-3929:ERR1041474_Aligned.sortedByCoord.out.bam,-1.1122828,11.904124
26_human_embryo_E-MTAB-3929:ERR1041475_Aligned.sortedByCoord.out.bam,-1.0708263,11.879165
26_human_embryo_E-MTAB-3929:ERR1041476_Aligned.sortedByCoord.out.bam,-1.118141,11.898053
26_human_embryo_E-MTAB-3929:ERR1041477_Aligned.sortedByCoord.out.bam,-0.111174494,13.542149
26_human_embryo_E-MTAB-3929:ERR1041478_Aligned.sortedByCoord.out.bam,-0.10872375,13.299827
26_human_embryo_E-MTAB-3929:ERR1041479_Aligned.sortedByCoord.out.bam,0.18598616,13.872455
26_human_embryo_E-MTAB-3929:ERR1041480_Aligned.sortedByCoord.out.bam,-0.1872715,13.194246
26_human_embryo_E-MTAB-3929:ERR1041481_Aligned.sortedByCoord.out.bam,0.13821633,13.839803
26_human_embryo_E-MTAB-3929:ERR1041482_Aligned.sortedByCoord.out.bam,0.20880236,13.51834
26_human_embryo_E-MTAB-3929:ERR1041483_Aligned.sortedByCoord.out.bam,0.19520257,13.489386
26_human_embryo_E-MTAB-3929:ERR1041484_Aligned.sortedByCoord.out.bam,0.0021662468,13.435068
26_human_embryo_E-MTAB-3929:ERR1041485_Aligned.sortedByCoord.out.bam,0.11587891,13.770556
26_human_embryo_E-MTAB-3929:ERR1041486_Aligned.sortedByCoord.out.bam,0.75807947,13.693146
26_human_embryo_E-MTAB-3929:ERR1041487_Aligned.sortedByCoord.out.bam,-0.069030635,13.455133
26_human_embryo_E-MTAB-3929:ERR1041488_Aligned.sortedByCoord.out.bam,0.40355393,13.483909
26_human_embryo_E-MTAB-3929:ERR1041489_Aligned.sortedByCoord.out.bam,0.10744224,12.983198
26_human_embryo_E-MTAB-3929:ERR1041490_Aligned.sortedByCoord.out.bam,-0.04147992,12.901507
26_human_embryo_E-MTAB-3929:ERR1041491_Aligned.sortedByCoord.out.bam,-0.047427494,13.140326
26_human_embryo_E-MTAB-3929:ERR1041492_Aligned.sortedByCoord.out.bam,0.39075366,13.474925
26_human_embryo_E-MTAB-3929:ERR1041493_Aligned.sortedByCoord.out.bam,0.25519192,13.928469
26_human_embryo_E-MTAB-3929:ERR1041494_Aligned.sortedByCoord.out.bam,0.33959016,13.2541485
26_human_embryo_E-MTAB-3929:ERR1041495_Aligned.sortedByCoord.out.bam,0.17008145,12.516856
26_human_embryo_E-MTAB-3929:ERR1041496_Aligned.sortedByCoord.out.bam,-0.37252584,12.361611
26_human_embryo_E-MTAB-3929:ERR1041497_Aligned.sortedByCoord.out.bam,0.2453418,12.496145
26_human_embryo_E-MTAB-3929:ERR1041498_Aligned.sortedByCoord.out.bam,0.4927115,12.536574
26_human_embryo_E-MTAB-3929:ERR1041499_Aligned.sortedByCoord.out.bam,-0.1808621,12.210624
26_human_embryo_E-MTAB-3929:ERR1041500_Aligned.sortedByCoord.out.bam,0.37760395,12.74758
26_human_embryo_E-MTAB-3929:ERR1041501_Aligned.sortedByCoord.out.bam,0.051166784,12.453886
26_human_embryo_E-MTAB-3929:ERR1041502_Aligned.sortedByCoord.out.bam,-0.28412053,12.182898
26_human_embryo_E-MTAB-3929:ERR1041503_Aligned.sortedByCoord.out.bam,1.0986509,13.989871
26_human_embryo_E-MTAB-3929:ERR1041504_Aligned.sortedByCoord.out.bam,-0.052268613,12.250536
26_human_embryo_E-MTAB-3929:ERR1041505_Aligned.sortedByCoord.out.bam,0.26358557,12.57188
26_human_embryo_E-MTAB-3929:ERR1041506_Aligned.sortedByCoord.out.bam,0.20136186,12.456496
26_human_embryo_E-MTAB-3929:ERR1041507_Aligned.sortedByCoord.out.bam,-0.005538415,12.323997
26_human_embryo_E-MTAB-3929:ERR1041508_Aligned.sortedByCoord.out.bam,0.370118,12.641369
26_human_embryo_E-MTAB-3929:ERR1041509_Aligned.sortedByCoord.out.bam,-0.30474713,12.37977
26_human_embryo_E-MTAB-3929:ERR1041510_Aligned.sortedByCoord.out.bam,0.1095967,12.706588
26_human_embryo_E-MTAB-3929:ERR1041511_Aligned.sortedByCoord.out.bam,3.4119923,14.155616
26_human_embryo_E-MTAB-3929:ERR1041512_Aligned.sortedByCoord.out.bam,2.9124382,14.44857
26_human_embryo_E-MTAB-3929:ERR1041513_Aligned.sortedByCoord.out.bam,2.3414898,14.905674
26_human_embryo_E-MTAB-3929:ERR1041514_Aligned.sortedByCoord.out.bam,3.4176676,13.898146
26_human_embryo_E-MTAB-3929:ERR1041515_Aligned.sortedByCoord.out.bam,3.226675,13.692978
26_human_embryo_E-MTAB-3929:ERR1041516_Aligned.sortedByCoord.out.bam,2.7248633,14.982092
26_human_embryo_E-MTAB-3929:ERR1041517_Aligned.sortedByCoord.out.bam,2.5978281,14.843175
26_human_embryo_E-MTAB-3929:ERR1041518_Aligned.sortedByCoord.out.bam,3.318241,16.013653
26_human_embryo_E-MTAB-3929:ERR1041519_Aligned.sortedByCoord.out.bam,3.8741035,15.5702505
26_human_embryo_E-MTAB-3929:ERR1041520_Aligned.sortedByCoord.out.bam,4.006205,15.586098
26_human_embryo_E-MTAB-3929:ERR1041521_Aligned.sortedByCoord.out.bam,3.8206778,15.442384
26_human_embryo_E-MTAB-3929:ERR1041522_Aligned.sortedByCoord.out.bam,2.801346,15.380707
26_human_embryo_E-MTAB-3929:ERR1041523_Aligned.sortedByCoord.out.bam,3.5579352,14.98246
26_human_embryo_E-MTAB-3929:ERR1041524_Aligned.sortedByCoord.out.bam,3.1296172,15.14466
26_human_embryo_E-MTAB-3929:ERR1041525_Aligned.sortedByCoord.out.bam,2.643889,14.070232
26_human_embryo_E-MTAB-3929:ERR1041526_Aligned.sortedByCoord.out.bam,-1.6549205,13.786243
26_human_embryo_E-MTAB-3929:ERR1041527_Aligned.sortedByCoord.out.bam,-1.5344659,13.658006
26_human_embryo_E-MTAB-3929:ERR1041528_Aligned.sortedByCoord.out.bam,-1.7841032,13.7235365
26_human_embryo_E-MTAB-3929:ERR1041529_Aligned.sortedByCoord.out.bam,-1.7699337,13.4365425
