CellID,UMAP1,UMAP2
52_mouse_sympatho_GSE99933:SRR5674672_Aligned.sortedByCoord.out.bam,9.5405035,8.636126
52_mouse_sympatho_GSE99933:SRR5674673_Aligned.sortedByCoord.out.bam,6.819465,3.1304235
52_mouse_sympatho_GSE99933:SRR5674674_Aligned.sortedByCoord.out.bam,12.71408,11.369344
52_mouse_sympatho_GSE99933:SRR5674675_Aligned.sortedByCoord.out.bam,9.692478,8.141528
52_mouse_sympatho_GSE99933:SRR5674676_Aligned.sortedByCoord.out.bam,9.734777,4.6887712
52_mouse_sympatho_GSE99933:SRR5674679_Aligned.sortedByCoord.out.bam,8.612207,1.3993211
52_mouse_sympatho_GSE99933:SRR5674680_Aligned.sortedByCoord.out.bam,7.7414713,1.2649438
52_mouse_sympatho_GSE99933:SRR5674681_Aligned.sortedByCoord.out.bam,7.799095,3.4954355
52_mouse_sympatho_GSE99933:SRR5674682_Aligned.sortedByCoord.out.bam,11.576451,1.3259835
52_mouse_sympatho_GSE99933:SRR5674683_Aligned.sortedByCoord.out.bam,6.7525525,3.6004014
52_mouse_sympatho_GSE99933:SRR5674684_Aligned.sortedByCoord.out.bam,7.2609377,1.9099778
52_mouse_sympatho_GSE99933:SRR5674685_Aligned.sortedByCoord.out.bam,-4.4309783,0.95182806
52_mouse_sympatho_GSE99933:SRR5674686_Aligned.sortedByCoord.out.bam,7.157058,2.95888
52_mouse_sympatho_GSE99933:SRR5674687_Aligned.sortedByCoord.out.bam,8.9949045,6.956987
52_mouse_sympatho_GSE99933:SRR5674688_Aligned.sortedByCoord.out.bam,7.6578803,4.021417
52_mouse_sympatho_GSE99933:SRR5674689_Aligned.sortedByCoord.out.bam,13.620284,9.082994
52_mouse_sympatho_GSE99933:SRR5674690_Aligned.sortedByCoord.out.bam,-4.9018493,-0.39181274
52_mouse_sympatho_GSE99933:SRR5674691_Aligned.sortedByCoord.out.bam,11.702403,1.5598205
52_mouse_sympatho_GSE99933:SRR5674692_Aligned.sortedByCoord.out.bam,10.00986,0.77957135
52_mouse_sympatho_GSE99933:SRR5674693_Aligned.sortedByCoord.out.bam,7.6554456,4.612498
52_mouse_sympatho_GSE99933:SRR5674695_Aligned.sortedByCoord.out.bam,7.8728447,1.0349833
52_mouse_sympatho_GSE99933:SRR5674696_Aligned.sortedByCoord.out.bam,12.243462,8.324669
52_mouse_sympatho_GSE99933:SRR5674697_Aligned.sortedByCoord.out.bam,11.569358,8.228535
52_mouse_sympatho_GSE99933:SRR5674698_Aligned.sortedByCoord.out.bam,11.641323,0.07017526
52_mouse_sympatho_GSE99933:SRR5674699_Aligned.sortedByCoord.out.bam,8.48715,6.320504
52_mouse_sympatho_GSE99933:SRR5674700_Aligned.sortedByCoord.out.bam,6.711577,3.7666605
52_mouse_sympatho_GSE99933:SRR5674701_Aligned.sortedByCoord.out.bam,11.313833,9.967262
52_mouse_sympatho_GSE99933:SRR5674703_Aligned.sortedByCoord.out.bam,7.07476,2.5075593
52_mouse_sympatho_GSE99933:SRR5674704_Aligned.sortedByCoord.out.bam,9.105364,5.327668
52_mouse_sympatho_GSE99933:SRR5674705_Aligned.sortedByCoord.out.bam,7.9996247,4.8124313
52_mouse_sympatho_GSE99933:SRR5674706_Aligned.sortedByCoord.out.bam,10.950115,2.2854497
52_mouse_sympatho_GSE99933:SRR5674708_Aligned.sortedByCoord.out.bam,-4.4766154,-0.12318321
52_mouse_sympatho_GSE99933:SRR5674709_Aligned.sortedByCoord.out.bam,12.420992,8.042482
52_mouse_sympatho_GSE99933:SRR5674710_Aligned.sortedByCoord.out.bam,8.291993,2.3036277
52_mouse_sympatho_GSE99933:SRR5674711_Aligned.sortedByCoord.out.bam,10.165493,1.3507028
52_mouse_sympatho_GSE99933:SRR5674712_Aligned.sortedByCoord.out.bam,-3.9276693,0.7143675
52_mouse_sympatho_GSE99933:SRR5674714_Aligned.sortedByCoord.out.bam,8.494649,2.552119
52_mouse_sympatho_GSE99933:SRR5674715_Aligned.sortedByCoord.out.bam,8.125248,3.605172
52_mouse_sympatho_GSE99933:SRR5674716_Aligned.sortedByCoord.out.bam,11.989646,1.859858
52_mouse_sympatho_GSE99933:SRR5674717_Aligned.sortedByCoord.out.bam,11.127001,7.4444466
52_mouse_sympatho_GSE99933:SRR5674718_Aligned.sortedByCoord.out.bam,9.244999,6.7292285
52_mouse_sympatho_GSE99933:SRR5674719_Aligned.sortedByCoord.out.bam,11.60406,9.092167
52_mouse_sympatho_GSE99933:SRR5674720_Aligned.sortedByCoord.out.bam,8.434766,5.7203016
52_mouse_sympatho_GSE99933:SRR5674721_Aligned.sortedByCoord.out.bam,8.925585,7.6623006
52_mouse_sympatho_GSE99933:SRR5674722_Aligned.sortedByCoord.out.bam,11.0169735,1.2111973
52_mouse_sympatho_GSE99933:SRR5674724_Aligned.sortedByCoord.out.bam,-4.8112926,0.2756842
52_mouse_sympatho_GSE99933:SRR5674727_Aligned.sortedByCoord.out.bam,9.89455,4.0089297
52_mouse_sympatho_GSE99933:SRR5674728_Aligned.sortedByCoord.out.bam,-5.0343432,-0.74109703
52_mouse_sympatho_GSE99933:SRR5674729_Aligned.sortedByCoord.out.bam,12.285811,8.541685
52_mouse_sympatho_GSE99933:SRR5674730_Aligned.sortedByCoord.out.bam,7.966479,1.1918977
52_mouse_sympatho_GSE99933:SRR5674731_Aligned.sortedByCoord.out.bam,7.280937,1.6734045
52_mouse_sympatho_GSE99933:SRR5674732_Aligned.sortedByCoord.out.bam,-5.50319,1.063265
52_mouse_sympatho_GSE99933:SRR5674733_Aligned.sortedByCoord.out.bam,10.2889385,2.4409163
52_mouse_sympatho_GSE99933:SRR5674734_Aligned.sortedByCoord.out.bam,7.811222,1.7296818
52_mouse_sympatho_GSE99933:SRR5674735_Aligned.sortedByCoord.out.bam,7.281173,1.4596391
52_mouse_sympatho_GSE99933:SRR5674736_Aligned.sortedByCoord.out.bam,12.3962,0.7229692
52_mouse_sympatho_GSE99933:SRR5674737_Aligned.sortedByCoord.out.bam,8.394891,5.118777
52_mouse_sympatho_GSE99933:SRR5674738_Aligned.sortedByCoord.out.bam,8.610091,4.783542
52_mouse_sympatho_GSE99933:SRR5674739_Aligned.sortedByCoord.out.bam,11.07287,1.5216426
52_mouse_sympatho_GSE99933:SRR5674740_Aligned.sortedByCoord.out.bam,12.944097,9.425447
52_mouse_sympatho_GSE99933:SRR5674741_Aligned.sortedByCoord.out.bam,-4.565527,-0.9552408
52_mouse_sympatho_GSE99933:SRR5674742_Aligned.sortedByCoord.out.bam,7.8735805,3.9542744
52_mouse_sympatho_GSE99933:SRR5674743_Aligned.sortedByCoord.out.bam,8.219233,7.0998874
52_mouse_sympatho_GSE99933:SRR5674744_Aligned.sortedByCoord.out.bam,10.059171,8.201757
52_mouse_sympatho_GSE99933:SRR5674745_Aligned.sortedByCoord.out.bam,9.161516,6.2733226
52_mouse_sympatho_GSE99933:SRR5674746_Aligned.sortedByCoord.out.bam,11.580271,9.305644
52_mouse_sympatho_GSE99933:SRR5674747_Aligned.sortedByCoord.out.bam,11.831057,7.9894786
