,33,22_CTCL,26,4,3,34,15,9,19,12,36,25,47,51,1,21,20,40,42,22_ctrl,30,17,18,28,8,46,24,27,55,41,11,39,62,13,49,44,37,43,63,61,31,53,14,38,32,10,48,5,7,54,29,23,45,6,AVG,RANK
scVelo_stochastic,0.3118,0.3044,1.5355,0.9052,1.232,0.797,1.3071,2.1174,1.7668,1.2306,2.3473,1.641,0.9335,1.3922,1.7279,1.212,0.9345,1.0517,2.3535,0.551,0.3243,1.154,0.4075,1.5154,1.4889,0.9459,1.0393,0.5703,0.6637,2.209,1.1535,0.927,1.0903,0.35,0.4252,1.2348,0.8191,0.7372,1.5672,0.9953,0.6719,0.6735,1.5331,,0.6418,0.9568,,1.2846,1.4742,0.8648,0.9222,2.3269,0.4946,0.4864,1.107713462,15
SDEvelo,0.3118,0.3044,1.5355,0.9053,1.232,0.7968,1.2476,2.1173,1.7668,1.5692,2.3468,1.6409,0.9336,1.3922,1.7276,1.212,0.9345,1.0798,2.2517,0.551,0.3143,1.1541,0.4075,1.5162,1.4889,0.9459,1.0393,,0.6637,1.4463,1.1536,0.9278,,0.3498,0.4277,1.0825,0.8191,0.7371,1.5679,1.0097,0.0643,0.6737,1.8443,,0.6418,0.9704,,,1.4742,0.8558,0.9432,2.3269,0.4946,0.4864,1.095587755,16
STT,0.5339,0.9698,1.8649,1.1327,1.8979,1.0621,1.9767,2.0088,2.0278,,2.854,1.7477,1.179,,2.0291,1.4663,1.2242,1.345,2.782,0.9698,,1.6715,0.2625,,1.6533,,1.4156,1.0885,0.6931,1.7622,1.7057,,,0.7786,0.9072,,,0.9756,,,,1.0148,,1.7417,0.8457,1.7484,,1.2831,1.9897,1.2078,0.8169,2.838,0.8513,1.3311,1.44135,6
TFvelo,0.5156,0.4751,2.3506,2.3244,2.2136,0.9013,1.5538,2.4327,2.6324,2.5652,2.8764,1.8056,1.392,1.8777,2.818,2.0506,1.3595,1.7027,,0.744,,1.9245,1.0771,,2.3415,0.9893,2.2688,0.854,1.8847,1.9701,1.3543,1.6686,2.1082,1.1512,1.6725,2.5005,3.4709,0.5743,2.4632,2.0611,1.3472,1.0423,2.8734,,0.8826,1.6747,,2.0914,2.2101,1.2933,1.4477,3.1451,0.8564,1.4511,1.780434694,4
TopicVelo,0.2089,0.3212,,0.7386,0.9091,0.1798,,0.8923,0.6485,,0.6337,1.3713,0.3566,0.9676,,0.4824,0.9275,,2.347,0.3852,0.5942,0.7457,0.2177,0.5957,0.8759,1.4834,0.4442,0.485,1.827,1.4281,0.3149,0.37,,,0.3831,1.2306,0.3404,0.2786,,,0.5942,0.2086,0.6531,1.1119,0.5679,0.4188,,0.5211,0.7427,0.828,,0.6955,0.1869,0.4961,0.697883721,19
UniTVelo,0.312,0.3044,1.5622,0.9052,1.2327,0.8035,1.3055,2.1173,1.7748,1.0894,2.3474,1.6409,0.9563,1.3922,1.7659,1.2123,0.9792,1.0607,2.3535,0.551,0.3213,1.1981,0.4077,1.5311,1.4929,0.9459,1.066,0.4336,1.9298,1.4281,1.1919,0.9268,1.0869,0.353,0.4254,1.2348,0.8615,0.7372,1.5673,0.9937,0.5942,0.6735,1.7317,1.4767,0.6442,0.97,,1.3568,1.505,0.8648,0.9218,2.3839,0.5058,0.4918,1.130558491,12
VeloAE,0.9118,0.7942,3.5576,3.1102,2.012,2.302,11.178,3.0678,4.0897,4.7177,4.6662,2.7874,3.2117,3.0707,3.3331,2.8525,1.7441,6.8697,8.8719,1.102,1.3594,4.5702,0.9919,1.6405,4.235,,3.5567,1.3912,3.2707,1.4745,2.6842,2.1927,2.1375,0.5472,2.799,4.8171,3.3682,0.8621,3.5253,6.4074,1.3127,2.0205,3.293,4.2046,1.0363,2.8456,,2.4245,4.4537,2.3236,,4.5345,1.2845,2.3243,3.100762745,1
Velocyto,0.7014,0.3445,0.8373,1.9,0.8198,1.1588,1.9492,1.3637,2.7504,1.8358,2.1282,1.1481,1.6318,0.7497,2.8152,0.3244,0.7824,2.3819,2.0198,0.566,0.6629,1.311,0.2731,2.3332,1.2732,1.2471,4.1467,0.7718,1.2163,2.7972,1.4795,1.4004,2.4323,0.2176,0.4321,2.2389,0.972,0.9776,3.1709,0.6622,1.2593,0.2854,1.8535,1.5864,0.4029,1.4163,,1.8755,1.333,0.4321,1.7707,2.3116,0.7617,1.5696,1.416649057,7
VeloVAE,0.312,0.3112,1.8093,0.839,1.368,0.784,1.289,2.1247,1.7387,1.183,2.3726,1.7084,0.932,1.3839,1.7128,1.2459,0.9358,1.0331,2.3027,0.5447,0.3218,1.1511,0.3929,1.4818,1.4686,1.7607,1.007,0.323,1.8816,1.4023,1.2273,0.9175,1.0589,0.3519,0.4487,1.2239,0.8283,0.7367,1.2286,1.2383,0.59,0.6547,1.7659,,0.6349,1.0137,,1.2334,1.4699,0.8403,0.886,2.3009,0.5192,0.6259,1.133009615,11
veloVI,0.532,0.6471,2.4814,1.2567,1.7797,1.0765,3.4944,2.2563,2.5331,2.1766,2.8243,1.691,1.3889,1.6732,2.1075,1.6593,1.3836,1.5711,2.9802,2.1928,0.3349,1.7646,0.406,1.8804,1.8679,0.9295,1.6056,1.1481,0.6978,1.8714,1.955,1.2211,1.1115,0.8028,1.5907,2.1706,1.7559,1.0386,1.9772,1.2357,1.1604,1.5776,2.3602,,1.0939,1.699,,1.9602,2.1461,1.2863,1.3836,3.4667,0.8955,1.6937,1.649888462,5
