Method,33,22_CTCL,26,4,3,34,15,9,19,12,36,25,47,51,1,21,20,40,42,22_ctrl,30,17,18,28,8,46,24,27,55,41,11,39,62,13,49,44,37,43,63,61,31,53,14,38,32,10,48,5,7,54,29,23,45,6,AVG,RANK
scVelo_stochastic,0.3742,0.3589,1.2156,0.8798,1.1487,0.7917,1.4642,1.671,1.5553,1.1451,1.5011,1.0252,0.981,1.1609,1.1444,1.1361,0.9569,0.8737,1.648,0.638,0.3829,1.0423,0.4771,1.1125,1.1397,0.9335,0.9842,0.6307,0.6686,1.4248,0.8526,0.7966,0.7942,0.4119,0.4629,1.148,0.8074,0.6193,0.8905,0.883,0.7286,0.7637,1.2278,,0.6665,0.8143,,0.8326,1.2525,0.9078,0.8783,1.5623,0.4969,0.3651,0.935171154,14
SDEvelo,0.3745,0.3589,1.2156,0.8798,1.1487,0.7922,1.3896,1.671,1.5553,0.9339,1.5012,1.0252,0.9811,1.1609,1.1445,1.1361,0.9569,0.9975,1.5715,0.638,0.3734,1.0423,0.4771,1.1129,1.1397,0.9335,0.9842,,0.6686,1.2035,0.8528,0.7964,,0.4118,0.4657,1.0596,0.8074,0.6192,0.8903,0.8918,0.0766,0.7637,1.5649,,0.6665,0.8234,,,1.2525,0.904,0.9447,1.5623,0.4975,0.3651,0.930281633,15
STT,0.5994,0.988,1.3974,0.9593,1.4775,0.9418,1.8307,1.4542,1.5398,,1.5663,1.0566,1.1273,,1.2591,1.1106,1.0948,0.9856,1.5002,0.988,,1.1968,0.2943,,1.1676,,1.1738,0.9722,0.6701,1.1327,1.1379,,,0.7487,0.4951,,,0.8877,,,,1.0103,,1.0948,0.8223,1.0068,,0.8326,1.3593,0.9796,0.8452,1.5694,0.8224,0.6552,1.068785,6
TFvelo,0.6128,0.5606,1.8438,1.7543,1.8178,0.9781,1.712,1.7501,1.9211,1.8124,1.6369,1.3126,1.4122,1.3909,1.5876,1.7763,1.2285,1.4007,,0.8583,,1.4283,1.103,,1.4314,1.0882,1.7646,0.936,1.6411,1.5189,1.1597,1.5162,1.4678,1.1194,1.5393,1.7355,1.6871,0.6788,1.2746,1.5747,1.2831,1.1453,2.0512,,0.9298,1.284,,1.7207,1.4853,1.2555,1.261,1.9026,0.9215,1.1891,1.397157143,2
TopicVelo,0.2547,0.1132,,0.3386,0,0,,0,0.2445,,0,0.9595,0,0.5437,,0.1435,0.9362,,1.6367,0.1533,0.6534,0.3108,0.1389,0.2829,0.529,1.4773,0,0.5338,1.5807,1.211,0.0333,0.0373,,,0.0551,1.1431,0,0.011,,,0.6534,0,0.2614,0.5565,0.6045,0.0176,,0.042,0.3434,0.88,,0,0,0.377,0.516887879,19
UniTVelo,0.3741,0.3589,1.2293,0.8798,1.151,0.7959,1.4622,1.671,1.5591,1.0599,1.501,1.0253,1.0065,1.1609,1.1566,1.1362,0.9852,0.8879,1.648,0.638,0.3812,1.0591,0.4771,1.1447,1.1452,0.9335,1.0025,0.4853,1.5831,1.211,0.8741,0.797,0.7988,0.4133,0.4645,1.148,0.8629,0.6195,0.8905,0.873,0.6534,0.7637,1.337,1.0115,0.6736,0.8238,,0.8595,1.2631,0.9078,0.8789,1.5737,0.5133,0.3697,0.952454717,12
VeloAE,1.0315,0.8134,2.2839,1.286,1.59,1.7645,3.3098,1.6561,2.6356,1.4938,1.8999,1.6006,2.2501,1.6165,1.6685,2.4555,1.1714,2.4621,2.0736,1.1348,1.3135,1.7741,1.012,1.5864,1.7687,,1.7483,1.2703,2.0107,1.0962,1.6539,1.8886,1.2735,0.6208,1.822,1.7499,1.5774,0.7694,1.1822,1.9307,1.2763,1.388,1.9195,2.1173,1.0935,1.3013,,1.3657,1.7726,1.7003,,1.8384,1.1138,1.3065,1.616458824,1
Velocyto,0.819,0.4014,0.3626,1.3413,0.7606,1.0467,1.3918,0.9732,1.6063,1.4619,1.2088,0.6318,1.3946,0.6497,1.401,0.1637,0.4011,1.504,1.1007,0.6645,0.7488,0.8949,0.2489,1.5052,0.7468,0.9242,1.6809,0.8654,1.0656,1.3992,1.0997,1.1464,1.2741,0.2138,0.4817,1.6661,0.5525,0.8236,1.1909,0.4283,1.2298,0.2743,1.498,0.8033,0.3881,1.1831,,1.1226,0.8688,0.4047,1.2881,1.0142,0.7577,0.912,0.943139623,13
VeloVAE,0.3742,0.3669,1.4178,0.8341,1.2884,0.795,1.4452,1.708,1.5546,1.131,1.5372,1.0617,0.9926,1.16,1.1485,1.1401,0.9643,0.875,1.651,0.6369,0.3831,1.0401,0.4608,1.1382,1.1435,1.4317,0.9784,0.3641,1.5714,1.2022,0.918,0.82,0.8485,0.4151,0.4997,1.15,0.8264,0.6337,0.9164,1.0851,0.6514,0.7594,1.3994,,0.6695,0.877,,0.8236,1.2595,0.8916,0.8247,1.5719,0.5388,0.5464,0.975425,10
veloVI,0.6142,0.6391,1.5615,1.0134,1.428,0.8694,2.0682,1.5971,1.6189,1.546,1.5718,1.0324,1.2152,1.2249,1.2103,1.2002,1.1778,0.9548,1.6625,1.3614,0.3836,1.2332,0.4366,1.2367,1.224,0.9061,1.2361,0.9802,0.6862,1.2232,1.0589,0.8625,0.75,0.8787,0.9903,1.5647,1.2254,0.7131,0.852,0.9079,1.13,1.0311,1.5418,,0.9656,1.0416,,0.9571,1.4035,1.0615,1.0162,1.6318,0.7471,0.6256,1.116719231,5
