Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
DeepVelo,0.920949872,0.819346896,0.887375792,0.896271252,0.771351024,0.875018595,0.901587869,0.967471647,0.93649293,0.956613636,0.873412235,0.761185807,0.902394121,0.798048668,0.857994605,0,0.799292624,0.927729312,0.886400731,0.901658474,0.890917333,0.817773505,0.770977165,0.705042357,0.891046267,0.829592962,0.778468684,0.73262719,0.86061107,0.612179948,0.892557364,0.816288331,0.957217059,0.687220157,0.927987953,0.956645722,0.891318077,0.858939352,0.934090678,0.939708779,0.881867204,0.919695983,0.770889066,0.92300181,0.939253852,0.883032376,0.887915376,0,0.953520191,0.732390347,0.758224635,0.824899214,0.933236937,0.654669664,0.808912943
InterVelo,0.721723996,0.623382196,0,0,0.553571138,0.702215546,0.721691851,0.880072742,0,0.869948023,0.818384661,0.711329057,0.852446917,0.666565236,0.700740695,0,0.608184759,0,0,0,0,0.71922577,0.740783416,0.486243445,0.655449151,0.674540591,0,0,0,0,0.815804481,0,0.89294418,0,0.851116058,0.867241874,0.656124687,0.680415643,0.758716118,0.837146335,0.819133134,0.842564641,0.671049248,0.810082102,0.694564981,0.747685789,0.780774548,0.73036537,0.832643926,0.555170359,0.818290757,0.883713771,0.78705718,0.690409135,0.592401789
LatentVelo,0.972556217,0.902209996,0.88735487,0,0,0.957206468,0.967650239,0.898524423,0,0,0.976597281,0.869271651,0.97389736,0.940996222,0.951398413,0.903525975,0.988827727,0.924796648,0.935182134,0.863865931,0.941424647,0.948652163,0.976383821,0.892820736,0,0.99997721,0.993789891,0.993305349,0.927483719,0.991530357,0.982899434,0,0.899548448,0.920136964,0,0.993170506,0.996503749,0,0.929985692,0.924320108,0.988484775,0.931193406,0,0.914594487,0,0,0.901912095,0.881705639,0.966258794,0.933533845,0,0.999612121,0,0,0
NeuroVelo,0.812647648,0.856718852,0.573773402,0.69620441,0.633820466,0.78281528,0.774421203,0.936520501,0.883133888,0.909327995,0.742690363,0.769466587,0.855677245,0.777822919,0.77882628,0,0.785452922,0.782715781,0.77534556,0.8346119,0.701594293,0.999796816,0.951263053,0.999831354,0.999888383,0.99989144,0.882675692,0.841176129,0.823492101,0.64147112,0.898168874,0,0.935002912,0.715462726,0.784341843,0.939931158,0.827127768,0.949193957,0.772945194,0.926477893,0.741783871,0.905798345,0,0.922962875,0.6956438,0.840710526,0.894110995,0.775360374,0.890359615,0.816571313,0.854216629,0.84738354,0.99998023,0.999778345,0.999943614
Pyro-Velocity,0.769122515,0.83710025,0.719578525,0,0,0.877135189,0.700707935,0.89595664,0,0,0,0.761657705,0,0.561844343,0.738327015,0.719023244,0.729757859,0.861224615,0.752241666,0.909710555,0.723526218,0.799341031,0.678402351,0,0,0,0,0,0.84021049,0.764238962,0.699220155,0,0.92021769,0,0,0,0.676633592,0,0,0.88749648,0,0,0.724756954,0.824839726,0.827962345,0,0.712479859,0,0.749893932,0,0,0,0,0.35644549,0
Region Velocity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905796583,0,0,0,0,0,0
SDEvelo,0.866829143,0.892821788,0.694621272,0.788121212,0.772252943,0.855050989,0.869005016,0.949406206,0.879340187,0.959287679,0.849986505,0.842147399,0.914697191,0.79441445,0.908060038,0.891993654,0.85770921,0.761357802,0.816582127,0.832980055,0.752779769,0.832899513,0.846474134,0.767458065,0.912993298,0.851166159,0.872986505,0.868661614,0.909766616,0.63522364,0.901156109,0,0.870368344,0.817985164,0.757038908,0.955034562,0.774812914,0.9556249,0.781009039,0.844807949,0.775122465,0.9239837,0.677258255,0.935792808,0.693204663,0.903472123,0.946308566,0.829377998,0.89402242,0.915102953,0,0.875566918,0,0.809515753,0
STT,0.847703655,0.815280425,0.661178749,0,0,0.637685116,0.769702674,0.636455849,0.511918981,0.558040759,0,0.444820849,0.868098894,0.796284206,0.670688833,0.399912944,0.632085719,0.771337236,0.587133498,0.616803346,0.732990873,0.631951538,0.697162066,0.309973733,0.695221555,0.320546284,0,0,0.609855452,0.402168322,0.604042407,0,0.615364351,0,0.713393249,0.71924949,0.834645699,0.858435947,0.733516685,0.669652027,0,0.611720415,0,0.669254868,0,0.852418047,0.334941082,0.608329541,0.930837087,0.898068263,0,0.941943262,0,0.435870324,0
TFvelo,0.965462745,0.958655867,0.934302107,0.952671335,0.89309319,0.960054413,0.964050384,0.975087513,0.939497225,0.962131429,0.972899803,0.877631089,0.979549826,0.89571812,0.927453579,0,0.964382675,0.960222096,0.921731491,0.975785037,0.955968507,0.951965906,0.968359847,0.822578215,0.924977413,0.924848571,0,0.940944353,0.9655938,0.880857729,0.928181909,0,0.970162435,0.956407254,0,0.957049672,0.936244763,0.930619728,0,0.903284174,0.97272381,0.87458833,0,0.936829365,0.731905221,0.969301283,0.824392278,0.877981835,0.966445513,0.920758602,0.963706216,0.969691803,0.508687295,0.966509234,0
TopicVelo,0,0.934121762,0.693776836,0,0.577580021,0.837823798,0.842409257,0.410261168,0,0,0,0,0.560882166,0,0.860523227,0.166450072,0.224271894,0.801117616,0.142523847,0.414960895,0.216046416,0.833527764,0,0,0,0,0.738367293,0.923692373,0.932677142,0.147616119,0,0,0,0.168244807,0.16751695,0,0,0.949193957,0.804110013,0.471772017,0.565747102,0,0,0.120506876,0.353241035,0.850037513,0.095277709,0.465598819,0.657103193,0,0,0,0,0,0
